Image,Name,Class,Parent,ROI,Centroid X px,Centroid Y px,Detection probability,Area px^2,Length px,Circularity,Solidity,Max diameter px,Min diameter px,Hematoxylin: Mean,Hematoxylin: Median,Hematoxylin: Min,Hematoxylin: Max,Hematoxylin: Std.Dev.,Eosin: Mean,Eosin: Median,Eosin: Min,Eosin: Max,Eosin: Std.Dev.,Delaunay: Num neighbors,Delaunay: Mean distance,Delaunay: Median distance,Delaunay: Max distance,Delaunay: Min distance,Delaunay: Mean triangle area,Delaunay: Max triangle area,Cluster mean: Detection probability,Cluster mean: Area px^2,Cluster mean: Length px,Cluster mean: Circularity,Cluster mean: Solidity,Cluster mean: Max diameter px,Cluster mean: Min diameter px,Cluster mean: Hematoxylin: Mean,Cluster mean: Hematoxylin: Median,Cluster mean: Hematoxylin: Min,Cluster mean: Hematoxylin: Max,Cluster mean: Hematoxylin: Std.Dev.,Cluster mean: Eosin: Mean,Cluster mean: Eosin: Median,Cluster mean: Eosin: Min,Cluster mean: Eosin: Max,Cluster mean: Eosin: Std.Dev.,Cluster mean: Delaunay: Num neighbors,Cluster mean: Delaunay: Mean distance,Cluster mean: Delaunay: Median distance,Cluster mean: Delaunay: Max distance,Cluster mean: Delaunay: Min distance,Cluster mean: Delaunay: Mean triangle area,Cluster mean: Delaunay: Max triangle area,Cluster size,Max Prediction Probability,Class Type
M06__A-13_img_cropped.png,M06__A-13_img_cropped_1_5396,,Tissue,Polygon,889.88,961.07,0.9192,2080.0427,163.6393,0.9761,0.9982,55.6206,48.2946,0.1722,0.1628,-0.0391,0.574,0.1146,0.1375,0.1298,-0.0143,0.5764,0.0895,5,46.2629,44.2413,59.3586,36.8735,568.1466,1079.9531,0.5889,267.9197,60.2845,0.8427,0.9698,22.7093,14.4307,0.2325,0.2173,0.0433,0.5739,0.1113,0.1916,0.1821,0.029,0.4733,0.0821,5.9874,62.1384,58.0557,107.0541,27.1094,1663.8451,4073.6123,8739,1.0,Tumor
M06__A-13_img_cropped.png,M06__A-13_img_cropped_1_7239,,Tissue,Polygon,1839.3,561.91,0.9137,477.5906,80.085,0.9358,1.0,29.7521,20.3419,0.1345,0.1005,0.0011,0.8225,0.1099,0.1033,0.0795,-0.0143,0.9938,0.1021,5,64.7176,70.9722,119.8574,26.2232,1943.1643,4190.5601,0.5889,267.9197,60.2845,0.8427,0.9698,22.7093,14.4307,0.2325,0.2173,0.0433,0.5739,0.1113,0.1916,0.1821,0.029,0.4733,0.0821,5.9874,62.1384,58.0557,107.0541,27.1094,1663.8451,4073.6123,8739,0.925358,Tumor
M06__A-13_img_cropped.png,M06__A-13_img_cropped_1_680,,Tissue,Polygon,3167.8,4190.8,0.9101,276.173,59.6279,0.9761,1.0,19.7553,17.875,0.323,0.3274,0.0241,1.0003,0.1532,0.1608,0.1431,-0.035,0.4723,0.1011,6,38.0221,40.8967,60.293,20.5566,509.4202,744.5844,0.5889,267.9197,60.2845,0.8427,0.9698,22.7093,14.4307,0.2325,0.2173,0.0433,0.5739,0.1113,0.1916,0.1821,0.029,0.4733,0.0821,5.9874,62.1384,58.0557,107.0541,27.1094,1663.8451,4073.6123,8739,0.9702078,Lymphocyte
M06__A-13_img_cropped.png,M06__A-13_img_cropped_1_1279,,Tissue,Polygon,1893.9,850.87,0.9026,1133.0096,123.8073,0.9289,0.9951,46.1105,33.3409,0.387,0.2873,-0.0002,2.188,0.321,0.2378,0.1606,-0.0097,1.6302,0.2264,5,64.8473,56.06,103.1253,50.563,1741.3181,2659.0737,0.5889,267.9197,60.2845,0.8427,0.9698,22.7093,14.4307,0.2325,0.2173,0.0433,0.5739,0.1113,0.1916,0.1821,0.029,0.4733,0.0821,5.9874,62.1384,58.0557,107.0541,27.1094,1663.8451,4073.6123,8739,0.9965481,Tumor
M06__A-13_img_cropped.png,M06__A-13_img_cropped_1_5768,,Tissue,Polygon,3255.0,1037.1,0.9004,350.5856,67.1027,0.9784,1.0,22.8871,19.9671,0.25,0.2493,0.0017,0.5685,0.1084,0.2203,0.2135,0.0942,0.5644,0.0808,5,98.7736,96.5109,177.85,35.4222,3324.2449,5048.3223,0.5889,267.9197,60.2845,0.8427,0.9698,22.7093,14.4307,0.2325,0.2173,0.0433,0.5739,0.1113,0.1916,0.1821,0.029,0.4733,0.0821,5.9874,62.1384,58.0557,107.0541,27.1094,1663.8451,4073.6123,8739,0.43064138,Others
M06__A-13_img_cropped.png,M06__A-13_img_cropped_1_3878,,Tissue,Polygon,2706.2,5422.7,0.8996,458.1208,77.1902,0.9662,1.0,26.6422,23.0512,0.2702,0.2607,0.0311,0.6276,0.1107,0.1253,0.1173,-0.0206,0.3518,0.0532,5,132.758,145.3497,187.5915,55.7183,8361.7363,16163.8887,0.5889,267.9197,60.2845,0.8427,0.9698,22.7093,14.4307,0.2325,0.2173,0.0433,0.5739,0.1113,0.1916,0.1821,0.029,0.4733,0.0821,5.9874,62.1384,58.0557,107.0541,27.1094,1663.8451,4073.6123,8739,0.52720875,Others
M06__A-13_img_cropped.png,M06__A-13_img_cropped_1_4284,,Tissue,Polygon,538.68,4469.3,0.8987,1640.37,163.4119,0.7719,0.9838,66.0815,32.0613,0.7347,0.6835,0.0027,2.3925,0.3442,0.3741,0.3729,-0.1257,0.9316,0.1505,6,62.6621,62.9912,84.6321,39.1532,1501.3921,2666.5093,0.5889,267.9197,60.2845,0.8427,0.9698,22.7093,14.4307,0.2325,0.2173,0.0433,0.5739,0.1113,0.1916,0.1821,0.029,0.4733,0.0821,5.9874,62.1384,58.0557,107.0541,27.1094,1663.8451,4073.6123,8739,0.9411877,Tumor
M06__A-13_img_cropped.png,M06__A-13_img_cropped_1_2095,,Tissue,Polygon,2662.4,193.16,0.8986,432.0605,74.3986,0.9809,1.0,24.8287,22.9347,0.1722,0.154,-0.004,0.5445,0.0988,0.1039,0.0916,0.0179,0.28,0.0571,5,79.3918,90.2619,112.3979,20.3582,1887.1045,3670.0818,0.5889,267.9197,60.2845,0.8427,0.9698,22.7093,14.4307,0.2325,0.2173,0.0433,0.5739,0.1113,0.1916,0.1821,0.029,0.4733,0.0821,5.9874,62.1384,58.0557,107.0541,27.1094,1663.8451,4073.6123,8739,0.5623597,Others
M06__A-13_img_cropped.png,M06__A-13_img_cropped_1_4894,,Tissue,Polygon,5517.7,1464.7,0.8945,266.0587,58.7559,0.9685,1.0,20.6509,16.8543,0.4481,0.5003,0.0491,0.8335,0.1887,0.3996,0.3798,0.0335,1.3777,0.2233,7,94.328,102.1774,140.8025,36.6465,3784.9016,6476.4609,0.5889,267.9197,60.2845,0.8427,0.9698,22.7093,14.4307,0.2325,0.2173,0.0433,0.5739,0.1113,0.1916,0.1821,0.029,0.4733,0.0821,5.9874,62.1384,58.0557,107.0541,27.1094,1663.8451,4073.6123,8739,0.9262404,Lymphocyte
M06__A-13_img_cropped.png,M06__A-13_img_cropped_1_2488,,Tissue,Polygon,1052.1,4567.0,0.8942,507.7358,82.4118,0.9394,0.9968,28.9613,23.5736,0.8407,0.7895,-0.0011,4.0179,0.536,0.3936,0.3566,-1.0016,1.9729,0.3918,7,119.0745,133.1841,158.5047,23.7452,4170.6514,7446.6919,0.5889,267.9197,60.2845,0.8427,0.9698,22.7093,14.4307,0.2325,0.2173,0.0433,0.5739,0.1113,0.1916,0.1821,0.029,0.4733,0.0821,5.9874,62.1384,58.0557,107.0541,27.1094,1663.8451,4073.6123,8739,0.63130987,Others
