Image,Name,Class,Parent,ROI,Centroid X px,Centroid Y px,Detection probability,Area px^2,Length px,Circularity,Solidity,Max diameter px,Min diameter px,Hematoxylin: Mean,Hematoxylin: Median,Hematoxylin: Min,Hematoxylin: Max,Hematoxylin: Std.Dev.,Eosin: Mean,Eosin: Median,Eosin: Min,Eosin: Max,Eosin: Std.Dev.,Delaunay: Num neighbors,Delaunay: Mean distance,Delaunay: Median distance,Delaunay: Max distance,Delaunay: Min distance,Delaunay: Mean triangle area,Delaunay: Max triangle area,Cluster mean: Detection probability,Cluster mean: Area px^2,Cluster mean: Length px,Cluster mean: Circularity,Cluster mean: Solidity,Cluster mean: Max diameter px,Cluster mean: Min diameter px,Cluster mean: Hematoxylin: Mean,Cluster mean: Hematoxylin: Median,Cluster mean: Hematoxylin: Min,Cluster mean: Hematoxylin: Max,Cluster mean: Hematoxylin: Std.Dev.,Cluster mean: Eosin: Mean,Cluster mean: Eosin: Median,Cluster mean: Eosin: Min,Cluster mean: Eosin: Max,Cluster mean: Eosin: Std.Dev.,Cluster mean: Delaunay: Num neighbors,Cluster mean: Delaunay: Mean distance,Cluster mean: Delaunay: Median distance,Cluster mean: Delaunay: Max distance,Cluster mean: Delaunay: Min distance,Cluster mean: Delaunay: Mean triangle area,Cluster mean: Delaunay: Max triangle area,Cluster size,Max Prediction Probability,Class Type
M06__B-5.png,M06__B-5_1_7556,,Tissue,Polygon,5567.4,2279.3,0.9176,632.9055,89.9135,0.9838,1.0,29.6446,27.7679,0.1161,0.112,0.0067,0.286,0.0576,0.1191,0.099,-0.0229,0.3129,0.0741,6,43.9594,39.5676,72.7477,24.7397,625.3198,1249.2057,0.6518,248.9991,57.1322,0.8145,0.9672,21.7913,13.2895,0.2334,0.1993,0.0247,0.6722,0.1453,0.2156,0.2041,-0.0015,0.5577,0.1039,5.9866,64.0722,58.7629,114.0764,25.6607,1907.7054,4921.3013,8040,0.91163915,Tumor
M06__B-5.png,M06__B-5_1_6829,,Tissue,Polygon,5074.8,4082.4,0.916,304.695,63.2356,0.9575,1.0,22.144,17.5826,0.2662,0.2728,0.0154,0.4518,0.099,0.3712,0.3815,0.1359,0.5104,0.0608,5,36.0702,35.6908,47.1761,28.1496,563.545,912.6406,0.6518,248.9991,57.1322,0.8145,0.9672,21.7913,13.2895,0.2334,0.1993,0.0247,0.6722,0.1453,0.2156,0.2041,-0.0015,0.5577,0.1039,5.9866,64.0722,58.7629,114.0764,25.6607,1907.7054,4921.3013,8040,0.45341262,Others
M06__B-5.png,M06__B-5_1_5216,,Tissue,Polygon,1011.5,2991.6,0.9159,246.5282,57.9288,0.9232,1.0,21.8497,14.3681,0.2003,0.077,-0.0076,1.3771,0.2778,0.1262,0.0444,-0.0132,0.8607,0.1696,5,104.001,95.8949,173.8536,65.3647,4353.3223,8108.168,0.6518,248.9991,57.1322,0.8145,0.9672,21.7913,13.2895,0.2334,0.1993,0.0247,0.6722,0.1453,0.2156,0.2041,-0.0015,0.5577,0.1039,5.9866,64.0722,58.7629,114.0764,25.6607,1907.7054,4921.3013,8040,0.8546408,Neutrophil
M06__B-5.png,M06__B-5_1_6722,,Tissue,Polygon,4480.4,3881.4,0.9072,364.6389,70.0141,0.9348,1.0,26.4561,18.3404,0.1795,0.1316,-0.0182,0.7098,0.1532,0.308,0.2196,0.0221,1.8004,0.2807,8,68.5605,76.9567,101.8529,28.9576,1649.5515,2859.042,0.6518,248.9991,57.1322,0.8145,0.9672,21.7913,13.2895,0.2334,0.1993,0.0247,0.6722,0.1453,0.2156,0.2041,-0.0015,0.5577,0.1039,5.9866,64.0722,58.7629,114.0764,25.6607,1907.7054,4921.3013,8040,0.6958481,Others
M06__B-5.png,M06__B-5_1_6659,,Tissue,Polygon,4014.4,5499.2,0.9067,2149.3513,168.3203,0.9533,0.9995,58.9852,48.0989,1.0622,1.0642,0.062,4.012,0.2998,0.4509,0.4759,-1.0522,1.2124,0.1368,4,70.2763,74.6143,91.7774,40.0992,2050.7441,3314.6167,0.6518,248.9991,57.1322,0.8145,0.9672,21.7913,13.2895,0.2334,0.1993,0.0247,0.6722,0.1453,0.2156,0.2041,-0.0015,0.5577,0.1039,5.9866,64.0722,58.7629,114.0764,25.6607,1907.7054,4921.3013,8040,1.0,Tumor
M06__B-5.png,M06__B-5_1_6934,,Tissue,Polygon,5067.3,3097.8,0.9053,649.6331,92.1791,0.9608,1.0,32.5817,25.8497,0.104,0.0939,-0.0077,0.3307,0.0536,0.1607,0.1602,0.0481,0.2914,0.0561,8,59.4,55.5551,75.6135,40.2435,1244.548,2003.1936,0.6518,248.9991,57.1322,0.8145,0.9672,21.7913,13.2895,0.2334,0.1993,0.0247,0.6722,0.1453,0.2156,0.2041,-0.0015,0.5577,0.1039,5.9866,64.0722,58.7629,114.0764,25.6607,1907.7054,4921.3013,8040,0.9989053,Tumor
M06__B-5.png,M06__B-5_1_6361,,Tissue,Polygon,5478.8,2271.2,0.902,718.4103,96.0994,0.9776,1.0,32.9889,28.0504,0.0828,0.0736,-0.0175,0.2936,0.0479,0.1122,0.1038,0.0033,0.2679,0.0548,6,46.0374,45.217,52.7532,41.1701,856.9578,1254.0406,0.6518,248.9991,57.1322,0.8145,0.9672,21.7913,13.2895,0.2334,0.1993,0.0247,0.6722,0.1453,0.2156,0.2041,-0.0015,0.5577,0.1039,5.9866,64.0722,58.7629,114.0764,25.6607,1907.7054,4921.3013,8040,0.98725176,Tumor
M06__B-5.png,M06__B-5_1_7308,,Tissue,Polygon,2102.3,3565.9,0.9019,670.486,93.5364,0.963,1.0,32.2913,27.8103,0.1178,0.1099,0.0266,0.2616,0.041,0.1825,0.1718,0.092,0.3253,0.0483,6,56.0653,45.5176,132.6219,25.2732,1478.9154,3918.46,0.6518,248.9991,57.1322,0.8145,0.9672,21.7913,13.2895,0.2334,0.1993,0.0247,0.6722,0.1453,0.2156,0.2041,-0.0015,0.5577,0.1039,5.9866,64.0722,58.7629,114.0764,25.6607,1907.7054,4921.3013,8040,0.945443,Tumor
M06__B-5.png,M06__B-5_1_1778,,Tissue,Polygon,4411.9,2981.4,0.9018,532.4702,84.3376,0.9407,1.0,30.5791,21.7341,0.1295,0.1256,-0.0131,0.3737,0.0604,0.1587,0.1466,0.0447,0.3999,0.0686,6,39.5573,40.6257,50.6376,29.2341,587.4619,867.3247,0.6518,248.9991,57.1322,0.8145,0.9672,21.7913,13.2895,0.2334,0.1993,0.0247,0.6722,0.1453,0.2156,0.2041,-0.0015,0.5577,0.1039,5.9866,64.0722,58.7629,114.0764,25.6607,1907.7054,4921.3013,8040,0.9910479,Tumor
M06__B-5.png,M06__B-5_1_6743,,Tissue,Polygon,5409.4,2359.5,0.9002,566.3905,88.9616,0.8993,0.9967,33.6098,22.1693,0.1032,0.0978,-0.0009,0.2691,0.0488,0.1074,0.0972,-0.0247,0.3649,0.0691,6,35.3101,35.2465,41.3901,27.4121,510.827,697.7532,0.6518,248.9991,57.1322,0.8145,0.9672,21.7913,13.2895,0.2334,0.1993,0.0247,0.6722,0.1453,0.2156,0.2041,-0.0015,0.5577,0.1039,5.9866,64.0722,58.7629,114.0764,25.6607,1907.7054,4921.3013,8040,0.99388725,Tumor
