Image,Name,Class,Parent,ROI,Centroid X px,Centroid Y px,Detection probability,Area px^2,Length px,Circularity,Solidity,Max diameter px,Min diameter px,Hematoxylin: Mean,Hematoxylin: Median,Hematoxylin: Min,Hematoxylin: Max,Hematoxylin: Std.Dev.,Eosin: Mean,Eosin: Median,Eosin: Min,Eosin: Max,Eosin: Std.Dev.,Delaunay: Num neighbors,Delaunay: Mean distance,Delaunay: Median distance,Delaunay: Max distance,Delaunay: Min distance,Delaunay: Mean triangle area,Delaunay: Max triangle area,Cluster mean: Detection probability,Cluster mean: Area px^2,Cluster mean: Length px,Cluster mean: Circularity,Cluster mean: Solidity,Cluster mean: Max diameter px,Cluster mean: Min diameter px,Cluster mean: Hematoxylin: Mean,Cluster mean: Hematoxylin: Median,Cluster mean: Hematoxylin: Min,Cluster mean: Hematoxylin: Max,Cluster mean: Hematoxylin: Std.Dev.,Cluster mean: Eosin: Mean,Cluster mean: Eosin: Median,Cluster mean: Eosin: Min,Cluster mean: Eosin: Max,Cluster mean: Eosin: Std.Dev.,Cluster mean: Delaunay: Num neighbors,Cluster mean: Delaunay: Mean distance,Cluster mean: Delaunay: Median distance,Cluster mean: Delaunay: Max distance,Cluster mean: Delaunay: Min distance,Cluster mean: Delaunay: Mean triangle area,Cluster mean: Delaunay: Max triangle area,Cluster size,Max Prediction Probability,Class Type
M06__C-17.png,M06__C-17_1_7607,,Tissue,Polygon,2261.9,5161.4,0.8906,719.2901,110.0759,0.746,0.9826,45.8976,19.5624,0.7575,0.7462,0.0176,4.0679,0.5269,0.3766,0.2705,-1.7845,2.5317,0.469,5,62.4223,51.8086,105.2274,33.7968,1865.6479,3901.1201,0.575,125.4091,41.4505,0.8163,0.9776,16.0646,9.3555,0.1649,0.15,0.0393,0.4181,0.0799,0.1408,0.1301,0.0241,0.369,0.0697,5.987,62.3822,59.8625,103.7393,27.2598,1566.6733,3445.4036,8599,0.99866223,Tumor
M06__C-17.png,M06__C-17_1_7526,,Tissue,Polygon,1030.7,1623.4,0.8876,185.9355,49.0741,0.9702,1.0,16.7901,14.6282,0.1833,0.1842,0.0143,0.4042,0.0728,0.2384,0.2276,0.037,0.5176,0.0795,5,57.0783,49.0556,86.8601,36.8529,1322.7095,2692.4246,0.575,125.4091,41.4505,0.8163,0.9776,16.0646,9.3555,0.1649,0.15,0.0393,0.4181,0.0799,0.1408,0.1301,0.0241,0.369,0.0697,5.987,62.3822,59.8625,103.7393,27.2598,1566.6733,3445.4036,8599,0.6556629,Others
M06__C-17.png,M06__C-17_1_768,,Tissue,Polygon,5575.4,2799.1,0.8775,186.9076,50.0862,0.9363,1.0,18.53,13.0636,0.1605,0.1467,0.0457,0.3441,0.0573,0.0847,0.0767,0.0333,0.1844,0.0344,4,31.2669,30.4549,48.7716,15.3863,415.4679,901.483,0.575,125.4091,41.4505,0.8163,0.9776,16.0646,9.3555,0.1649,0.15,0.0393,0.4181,0.0799,0.1408,0.1301,0.0241,0.369,0.0697,5.987,62.3822,59.8625,103.7393,27.2598,1566.6733,3445.4036,8599,0.99991167,Neutrophil
M06__C-17.png,M06__C-17_1_6147,,Tissue,Polygon,639.17,4706.0,0.8737,122.4052,40.5741,0.9344,1.0,14.4102,11.2629,0.1953,0.1521,-0.0022,0.8199,0.1637,0.2178,0.1465,0.0063,3.0063,0.2512,6,28.9391,16.5322,68.277,10.3932,396.5114,1433.6781,0.575,125.4091,41.4505,0.8163,0.9776,16.0646,9.3555,0.1649,0.15,0.0393,0.4181,0.0799,0.1408,0.1301,0.0241,0.369,0.0697,5.987,62.3822,59.8625,103.7393,27.2598,1566.6733,3445.4036,8599,0.9556691,Neutrophil
M06__C-17.png,M06__C-17_1_7141,,Tissue,Polygon,629.86,4823.7,0.8732,78.9308,32.0904,0.9632,1.0,10.7899,9.8717,0.1385,0.1438,0.0418,0.2541,0.0463,0.0924,0.0955,0.004,0.1792,0.0397,6,39.7349,39.7574,58.5505,21.8419,690.1862,1550.5835,0.575,125.4091,41.4505,0.8163,0.9776,16.0646,9.3555,0.1649,0.15,0.0393,0.4181,0.0799,0.1408,0.1301,0.0241,0.369,0.0697,5.987,62.3822,59.8625,103.7393,27.2598,1566.6733,3445.4036,8599,0.99995375,Neutrophil
M06__C-17.png,M06__C-17_1_3513,,Tissue,Polygon,1772.0,4645.8,0.8711,244.7868,56.6006,0.9602,1.0,19.9134,15.5992,0.1353,0.0987,-0.0022,0.863,0.1355,0.1182,0.0748,0.0065,0.9052,0.1246,4,27.7512,29.5882,35.8874,15.941,310.9045,601.8921,0.575,125.4091,41.4505,0.8163,0.9776,16.0646,9.3555,0.1649,0.15,0.0393,0.4181,0.0799,0.1408,0.1301,0.0241,0.369,0.0697,5.987,62.3822,59.8625,103.7393,27.2598,1566.6733,3445.4036,8599,0.95238036,Neutrophil
M06__C-17.png,M06__C-17_1_66,,Tissue,Polygon,2336.8,4750.4,0.8711,157.5302,48.3268,0.8476,1.0,18.8399,10.6241,0.2073,0.1502,0.0009,1.0368,0.2021,0.184,0.1099,-0.0142,1.7859,0.2163,7,85.773,100.8065,104.7439,30.2899,2158.1826,3975.2805,0.575,125.4091,41.4505,0.8163,0.9776,16.0646,9.3555,0.1649,0.15,0.0393,0.4181,0.0799,0.1408,0.1301,0.0241,0.369,0.0697,5.987,62.3822,59.8625,103.7393,27.2598,1566.6733,3445.4036,8599,0.8958397,Neutrophil
M06__C-17.png,M06__C-17_1_349,,Tissue,Polygon,5133.6,2253.1,0.8709,193.1166,51.7977,0.9045,1.0,19.6814,12.6662,0.2268,0.2179,0.0852,0.5389,0.0695,0.1468,0.162,-0.0167,0.2871,0.0782,6,94.928,95.1359,138.3628,48.7698,2688.5212,6326.041,0.575,125.4091,41.4505,0.8163,0.9776,16.0646,9.3555,0.1649,0.15,0.0393,0.4181,0.0799,0.1408,0.1301,0.0241,0.369,0.0697,5.987,62.3822,59.8625,103.7393,27.2598,1566.6733,3445.4036,8599,0.98929286,Lymphocyte
M06__C-17.png,M06__C-17_1_4488,,Tissue,Polygon,4071.2,4321.2,0.8705,122.1974,39.9998,0.9597,1.0,13.621,11.4853,0.1117,0.111,0.0469,0.1875,0.0317,0.0627,0.0676,0.0068,0.147,0.0294,6,48.865,41.9786,90.3197,14.4143,842.6997,1565.9586,0.575,125.4091,41.4505,0.8163,0.9776,16.0646,9.3555,0.1649,0.15,0.0393,0.4181,0.0799,0.1408,0.1301,0.0241,0.369,0.0697,5.987,62.3822,59.8625,103.7393,27.2598,1566.6733,3445.4036,8599,0.94384116,Neutrophil
M06__C-17.png,M06__C-17_1_6344,,Tissue,Polygon,1348.5,4376.4,0.8703,273.7836,63.9374,0.8416,0.9947,25.5268,13.9528,0.1685,0.1141,-0.0018,1.3313,0.1891,0.253,0.1508,0.0064,1.9616,0.3031,5,35.4342,19.2202,73.0554,13.0005,610.1023,1921.4182,0.575,125.4091,41.4505,0.8163,0.9776,16.0646,9.3555,0.1649,0.15,0.0393,0.4181,0.0799,0.1408,0.1301,0.0241,0.369,0.0697,5.987,62.3822,59.8625,103.7393,27.2598,1566.6733,3445.4036,8599,0.3179633,Others
