Image,Name,Class,Parent,ROI,Centroid X px,Centroid Y px,Detection probability,Area px^2,Length px,Circularity,Solidity,Max diameter px,Min diameter px,Hematoxylin: Mean,Hematoxylin: Median,Hematoxylin: Min,Hematoxylin: Max,Hematoxylin: Std.Dev.,Eosin: Mean,Eosin: Median,Eosin: Min,Eosin: Max,Eosin: Std.Dev.,Delaunay: Num neighbors,Delaunay: Mean distance,Delaunay: Median distance,Delaunay: Max distance,Delaunay: Min distance,Delaunay: Mean triangle area,Delaunay: Max triangle area,Cluster mean: Detection probability,Cluster mean: Area px^2,Cluster mean: Length px,Cluster mean: Circularity,Cluster mean: Solidity,Cluster mean: Max diameter px,Cluster mean: Min diameter px,Cluster mean: Hematoxylin: Mean,Cluster mean: Hematoxylin: Median,Cluster mean: Hematoxylin: Min,Cluster mean: Hematoxylin: Max,Cluster mean: Hematoxylin: Std.Dev.,Cluster mean: Eosin: Mean,Cluster mean: Eosin: Median,Cluster mean: Eosin: Min,Cluster mean: Eosin: Max,Cluster mean: Eosin: Std.Dev.,Cluster mean: Delaunay: Num neighbors,Cluster mean: Delaunay: Mean distance,Cluster mean: Delaunay: Median distance,Cluster mean: Delaunay: Max distance,Cluster mean: Delaunay: Min distance,Cluster mean: Delaunay: Mean triangle area,Cluster mean: Delaunay: Max triangle area,Cluster size,Max Prediction Probability,Class Type
M06__D-7.png,M06__D-7_1_6236,,Tissue,Polygon,4600.5,2209.2,0.9121,748.3096,98.1456,0.9762,1.0,33.947,28.34,0.1364,0.1085,-0.0155,0.7637,0.1109,0.1071,0.0945,-0.0178,0.5738,0.0699,6,55.9301,46.6939,80.3754,40.2339,1181.425,2015.8546,0.6517,231.007,54.7188,0.8292,0.9779,20.8973,12.8118,0.1757,0.1635,0.027,0.4383,0.0835,0.1937,0.18,0.0381,0.5065,0.0897,5.9913,62.0329,55.6432,112.8205,25.8201,1728.2941,4914.3848,8259,0.9999876,Tumor
M06__D-7.png,M06__D-7_1_5150,,Tissue,Polygon,2141.0,2095.6,0.903,493.1772,79.8389,0.9723,1.0,27.4911,23.6957,0.1075,0.0853,-0.0071,0.6714,0.0827,0.1084,0.0931,0.0191,0.6946,0.0678,6,60.2867,51.252,120.2706,27.5885,1457.8097,3834.0884,0.6517,231.007,54.7188,0.8292,0.9779,20.8973,12.8118,0.1757,0.1635,0.027,0.4383,0.0835,0.1937,0.18,0.0381,0.5065,0.0897,5.9913,62.0329,55.6432,112.8205,25.8201,1728.2941,4914.3848,8259,0.9714219,Tumor
M06__D-7.png,M06__D-7_1_2477,,Tissue,Polygon,5357.3,2138.3,0.9015,606.2025,88.3332,0.9763,1.0,29.6203,26.5848,0.1091,0.1029,-0.0056,0.3574,0.0528,0.1152,0.1114,0.0188,0.3822,0.0456,7,89.8621,96.7703,127.8937,34.2611,2510.8025,5300.7646,0.6517,231.007,54.7188,0.8292,0.9779,20.8973,12.8118,0.1757,0.1635,0.027,0.4383,0.0835,0.1937,0.18,0.0381,0.5065,0.0897,5.9913,62.0329,55.6432,112.8205,25.8201,1728.2941,4914.3848,8259,0.9976829,Tumor
M06__D-7.png,M06__D-7_1_791,,Tissue,Polygon,2546.5,5347.9,0.8986,412.574,72.7563,0.9794,1.0,24.1642,22.6337,0.0929,0.0739,-0.0104,0.3173,0.0678,0.24,0.2267,0.1128,0.4771,0.0703,6,40.5159,36.7153,81.4696,20.887,665.8475,1766.802,0.6517,231.007,54.7188,0.8292,0.9779,20.8973,12.8118,0.1757,0.1635,0.027,0.4383,0.0835,0.1937,0.18,0.0381,0.5065,0.0897,5.9913,62.0329,55.6432,112.8205,25.8201,1728.2941,4914.3848,8259,0.9137804,Tumor
M06__D-7.png,M06__D-7_1_4601,,Tissue,Polygon,1888.0,743.71,0.898,681.5982,93.6173,0.9773,1.0,31.5729,27.6939,0.1076,0.1038,0.0246,0.2556,0.0315,0.1061,0.0973,0.0531,0.2169,0.0346,5,60.3849,58.3399,78.2291,39.9364,1392.9216,2706.9771,0.6517,231.007,54.7188,0.8292,0.9779,20.8973,12.8118,0.1757,0.1635,0.027,0.4383,0.0835,0.1937,0.18,0.0381,0.5065,0.0897,5.9913,62.0329,55.6432,112.8205,25.8201,1728.2941,4914.3848,8259,0.9725185,Macrophage
M06__D-7.png,M06__D-7_1_2314,,Tissue,Polygon,4764.5,6014.7,0.898,128.3486,41.4235,0.94,1.0,14.9297,11.2281,0.2197,0.2077,0.0075,0.7211,0.0969,0.2141,0.2055,0.0869,0.481,0.0688,5,35.342,31.4886,56.7704,18.4583,506.843,1131.1498,0.6517,231.007,54.7188,0.8292,0.9779,20.8973,12.8118,0.1757,0.1635,0.027,0.4383,0.0835,0.1937,0.18,0.0381,0.5065,0.0897,5.9913,62.0329,55.6432,112.8205,25.8201,1728.2941,4914.3848,8259,0.82162887,Lymphocyte
M06__D-7.png,M06__D-7_1_3581,,Tissue,Polygon,5384.2,1734.4,0.8964,640.457,91.3074,0.9654,1.0,32.8304,25.7045,0.0962,0.0848,-0.0249,0.367,0.0635,0.1761,0.1655,0.042,0.4367,0.0702,11,138.1395,167.2079,263.2133,22.7927,4707.2681,21571.791,0.6517,231.007,54.7188,0.8292,0.9779,20.8973,12.8118,0.1757,0.1635,0.027,0.4383,0.0835,0.1937,0.18,0.0381,0.5065,0.0897,5.9913,62.0329,55.6432,112.8205,25.8201,1728.2941,4914.3848,8259,0.9953101,Tumor
M06__D-7.png,M06__D-7_1_4981,,Tissue,Polygon,1297.2,4638.4,0.8955,731.7033,96.9282,0.9787,1.0,32.6526,29.1403,0.1085,0.0983,0.0198,0.3572,0.0538,0.1133,0.1079,0.0294,0.2875,0.0353,4,43.6325,44.2305,60.6601,25.4089,825.019,1227.9991,0.6517,231.007,54.7188,0.8292,0.9779,20.8973,12.8118,0.1757,0.1635,0.027,0.4383,0.0835,0.1937,0.18,0.0381,0.5065,0.0897,5.9913,62.0329,55.6432,112.8205,25.8201,1728.2941,4914.3848,8259,0.9999676,Tumor
M06__D-7.png,M06__D-7_1_6192,,Tissue,Polygon,4760.6,2105.4,0.8945,420.1746,73.7044,0.972,1.0,25.5816,21.2769,0.19,0.1488,0.0118,0.7509,0.1322,0.1739,0.1425,-0.0004,0.8852,0.12,7,49.1544,46.4937,69.8019,29.6277,928.4955,1504.3912,0.6517,231.007,54.7188,0.8292,0.9779,20.8973,12.8118,0.1757,0.1635,0.027,0.4383,0.0835,0.1937,0.18,0.0381,0.5065,0.0897,5.9913,62.0329,55.6432,112.8205,25.8201,1728.2941,4914.3848,8259,0.76808625,Tumor
M06__D-7.png,M06__D-7_1_3950,,Tissue,Polygon,5317.1,2193.1,0.8918,432.3673,74.6323,0.9755,1.0,25.609,21.9516,0.1091,0.0962,-0.0006,0.3822,0.0603,0.134,0.1265,-0.0059,0.3218,0.0509,8,54.564,58.964,94.1474,20.0314,975.9545,3028.6536,0.6517,231.007,54.7188,0.8292,0.9779,20.8973,12.8118,0.1757,0.1635,0.027,0.4383,0.0835,0.1937,0.18,0.0381,0.5065,0.0897,5.9913,62.0329,55.6432,112.8205,25.8201,1728.2941,4914.3848,8259,0.99465704,Tumor
