Image,Name,Class,Parent,ROI,Centroid X px,Centroid Y px,Detection probability,Area px^2,Length px,Circularity,Solidity,Max diameter px,Min diameter px,Hematoxylin: Mean,Hematoxylin: Median,Hematoxylin: Min,Hematoxylin: Max,Hematoxylin: Std.Dev.,Eosin: Mean,Eosin: Median,Eosin: Min,Eosin: Max,Eosin: Std.Dev.,Delaunay: Num neighbors,Delaunay: Mean distance,Delaunay: Median distance,Delaunay: Max distance,Delaunay: Min distance,Delaunay: Mean triangle area,Delaunay: Max triangle area,Cluster mean: Detection probability,Cluster mean: Area px^2,Cluster mean: Length px,Cluster mean: Circularity,Cluster mean: Solidity,Cluster mean: Max diameter px,Cluster mean: Min diameter px,Cluster mean: Hematoxylin: Mean,Cluster mean: Hematoxylin: Median,Cluster mean: Hematoxylin: Min,Cluster mean: Hematoxylin: Max,Cluster mean: Hematoxylin: Std.Dev.,Cluster mean: Eosin: Mean,Cluster mean: Eosin: Median,Cluster mean: Eosin: Min,Cluster mean: Eosin: Max,Cluster mean: Eosin: Std.Dev.,Cluster mean: Delaunay: Num neighbors,Cluster mean: Delaunay: Mean distance,Cluster mean: Delaunay: Median distance,Cluster mean: Delaunay: Max distance,Cluster mean: Delaunay: Min distance,Cluster mean: Delaunay: Mean triangle area,Cluster mean: Delaunay: Max triangle area,Cluster size,Max Prediction Probability,Class Type
M06__E-15.png,M06__E-15_1_269,,Tissue,Polygon,3576.0,752.53,0.8959,179.4917,48.1333,0.9736,1.0,16.0729,14.764,0.5754,0.6012,0.0838,1.1635,0.1839,0.1948,0.136,-0.0597,1.3493,0.2368,6,41.6499,37.8215,58.185,24.7456,707.8527,1042.8905,0.6394,226.2364,54.5843,0.8154,0.9712,20.8974,12.5557,0.5677,0.5213,0.1417,1.4314,0.2646,0.1884,0.1742,-0.1842,0.7172,0.1534,5.9795,64.167,59.0035,114.5616,24.9717,1900.7708,5038.9785,5167,0.95118326,Lymphocyte
M06__E-15.png,M06__E-15_1_2352,,Tissue,Polygon,3322.3,1980.0,0.8936,164.0924,46.8095,0.9411,1.0,16.418,13.3324,0.5394,0.556,0.1132,0.9607,0.1767,0.1198,0.1045,-0.0203,0.4276,0.1125,6,32.4723,28.5588,54.1829,12.8319,384.6019,738.8991,0.6394,226.2364,54.5843,0.8154,0.9712,20.8974,12.5557,0.5677,0.5213,0.1417,1.4314,0.2646,0.1884,0.1742,-0.1842,0.7172,0.1534,5.9795,64.167,59.0035,114.5616,24.9717,1900.7708,5038.9785,5167,0.9981856,Lymphocyte
M06__E-15.png,M06__E-15_1_267,,Tissue,Polygon,2643.3,1624.5,0.8933,156.5479,45.2725,0.9598,1.0,15.9761,12.7879,0.5943,0.5404,0.0656,1.4414,0.2464,0.2851,0.2372,0.0162,1.3231,0.1913,6,37.426,43.6128,53.5885,11.1603,412.6866,1134.1444,0.6394,226.2364,54.5843,0.8154,0.9712,20.8974,12.5557,0.5677,0.5213,0.1417,1.4314,0.2646,0.1884,0.1742,-0.1842,0.7172,0.1534,5.9795,64.167,59.0035,114.5616,24.9717,1900.7708,5038.9785,5167,0.8058695,Lymphocyte
M06__E-15.png,M06__E-15_1_2207,,Tissue,Polygon,4427.1,654.42,0.8916,194.8013,50.2137,0.9709,1.0,16.8765,15.3339,0.7724,0.6237,0.1668,4.0546,0.4932,0.3119,0.2518,-0.7261,1.3831,0.2378,8,67.3725,71.8688,92.6423,41.3147,1454.6462,3103.4807,0.6394,226.2364,54.5843,0.8154,0.9712,20.8974,12.5557,0.5677,0.5213,0.1417,1.4314,0.2646,0.1884,0.1742,-0.1842,0.7172,0.1534,5.9795,64.167,59.0035,114.5616,24.9717,1900.7708,5038.9785,5167,0.9900699,Lymphocyte
M06__E-15.png,M06__E-15_1_693,,Tissue,Polygon,3428.4,489.83,0.8914,215.4657,53.5755,0.9433,1.0,19.0847,14.7636,0.4911,0.5083,0.0767,0.835,0.1184,0.1332,0.1113,0.008,0.6331,0.0967,5,23.9878,20.8514,34.1472,18.5713,241.389,355.8929,0.6394,226.2364,54.5843,0.8154,0.9712,20.8974,12.5557,0.5677,0.5213,0.1417,1.4314,0.2646,0.1884,0.1742,-0.1842,0.7172,0.1534,5.9795,64.167,59.0035,114.5616,24.9717,1900.7708,5038.9785,5167,0.99775416,Lymphocyte
M06__E-15.png,M06__E-15_1_4902,,Tissue,Polygon,3462.4,197.55,0.891,181.3608,48.8306,0.9558,1.0,16.9127,14.0628,0.6401,0.6017,0.1259,1.4735,0.2257,0.2277,0.1816,-0.0687,0.8315,0.1954,5,26.6849,28.5225,34.8479,17.3308,261.5708,338.6043,0.6394,226.2364,54.5843,0.8154,0.9712,20.8974,12.5557,0.5677,0.5213,0.1417,1.4314,0.2646,0.1884,0.1742,-0.1842,0.7172,0.1534,5.9795,64.167,59.0035,114.5616,24.9717,1900.7708,5038.9785,5167,0.96348965,Lymphocyte
M06__E-15.png,M06__E-15_1_3152,,Tissue,Polygon,3152.0,765.12,0.8908,202.9325,51.2729,0.97,1.0,17.7114,14.7646,0.4635,0.4716,0.1332,0.895,0.1092,0.1442,0.1208,0.0427,0.3961,0.0668,7,35.8947,34.8077,43.7363,25.1533,439.0809,546.4218,0.6394,226.2364,54.5843,0.8154,0.9712,20.8974,12.5557,0.5677,0.5213,0.1417,1.4314,0.2646,0.1884,0.1742,-0.1842,0.7172,0.1534,5.9795,64.167,59.0035,114.5616,24.9717,1900.7708,5038.9785,5167,0.9783362,Lymphocyte
M06__E-15.png,M06__E-15_1_579,,Tissue,Polygon,3610.6,740.2,0.8885,201.2248,50.7468,0.9819,1.0,16.9076,15.5276,0.4923,0.4567,0.0577,1.0653,0.1803,0.1561,0.1398,-0.219,0.5792,0.1534,5,32.6988,35.4243,49.0673,19.9685,458.7787,883.8165,0.6394,226.2364,54.5843,0.8154,0.9712,20.8974,12.5557,0.5677,0.5213,0.1417,1.4314,0.2646,0.1884,0.1742,-0.1842,0.7172,0.1534,5.9795,64.167,59.0035,114.5616,24.9717,1900.7708,5038.9785,5167,0.9933207,Lymphocyte
M06__E-15.png,M06__E-15_1_1832,,Tissue,Polygon,3052.4,1412.6,0.888,188.7867,49.9209,0.952,1.0,17.5087,13.9882,0.6774,0.6791,0.038,1.625,0.2496,0.2902,0.2167,0.0188,1.4275,0.2143,5,38.1338,32.91,57.9495,27.3591,639.1861,950.3062,0.6394,226.2364,54.5843,0.8154,0.9712,20.8974,12.5557,0.5677,0.5213,0.1417,1.4314,0.2646,0.1884,0.1742,-0.1842,0.7172,0.1534,5.9795,64.167,59.0035,114.5616,24.9717,1900.7708,5038.9785,5167,0.9990453,Lymphocyte
M06__E-15.png,M06__E-15_1_3949,,Tissue,Polygon,3399.4,1361.1,0.8874,395.2602,73.2364,0.9261,1.0,26.5956,20.0576,0.2093,0.1186,-0.0012,1.1755,0.2361,0.2694,0.1449,0.0245,1.9404,0.3363,6,47.7326,42.2018,84.5301,22.787,931.0178,2301.969,0.6394,226.2364,54.5843,0.8154,0.9712,20.8974,12.5557,0.5677,0.5213,0.1417,1.4314,0.2646,0.1884,0.1742,-0.1842,0.7172,0.1534,5.9795,64.167,59.0035,114.5616,24.9717,1900.7708,5038.9785,5167,0.96100664,Macrophage
