Image,Name,Class,Parent,ROI,Centroid X px,Centroid Y px,Detection probability,Area px^2,Length px,Circularity,Solidity,Max diameter px,Min diameter px,Hematoxylin: Mean,Hematoxylin: Median,Hematoxylin: Min,Hematoxylin: Max,Hematoxylin: Std.Dev.,Eosin: Mean,Eosin: Median,Eosin: Min,Eosin: Max,Eosin: Std.Dev.,Delaunay: Num neighbors,Delaunay: Mean distance,Delaunay: Median distance,Delaunay: Max distance,Delaunay: Min distance,Delaunay: Mean triangle area,Delaunay: Max triangle area,Cluster mean: Detection probability,Cluster mean: Area px^2,Cluster mean: Length px,Cluster mean: Circularity,Cluster mean: Solidity,Cluster mean: Max diameter px,Cluster mean: Min diameter px,Cluster mean: Hematoxylin: Mean,Cluster mean: Hematoxylin: Median,Cluster mean: Hematoxylin: Min,Cluster mean: Hematoxylin: Max,Cluster mean: Hematoxylin: Std.Dev.,Cluster mean: Eosin: Mean,Cluster mean: Eosin: Median,Cluster mean: Eosin: Min,Cluster mean: Eosin: Max,Cluster mean: Eosin: Std.Dev.,Cluster mean: Delaunay: Num neighbors,Cluster mean: Delaunay: Mean distance,Cluster mean: Delaunay: Median distance,Cluster mean: Delaunay: Max distance,Cluster mean: Delaunay: Min distance,Cluster mean: Delaunay: Mean triangle area,Cluster mean: Delaunay: Max triangle area,Cluster size,Max Prediction Probability,Class Type
M06__E-7.png,M06__E-7_1_5026,,Tissue,Polygon,3634.5,5728.3,0.9215,486.0544,80.1261,0.9514,1.0,29.1508,22.3404,0.2901,0.3154,-0.0267,0.5449,0.1202,0.353,0.3465,0.1091,0.9369,0.1122,8,99.3507,104.7011,159.921,30.4916,3707.5913,8309.1904,0.6667,233.476,56.2151,0.8235,0.9788,21.7921,12.7256,0.2302,0.2129,0.0418,0.5727,0.1076,0.1994,0.1847,0.029,0.5651,0.0933,5.9863,72.4206,69.1429,122.269,32.7074,2108.9646,4690.6631,6557,0.48449135,Others
M06__E-7.png,M06__E-7_1_4442,,Tissue,Polygon,4762.1,4587.4,0.9188,394.3159,71.6343,0.9656,1.0,25.0142,20.7105,0.4053,0.4177,-0.0381,0.9073,0.169,0.5556,0.4737,0.1682,1.77,0.3047,5,114.6271,115.7689,172.1788,59.1472,4860.1543,9052.5566,0.6667,233.476,56.2151,0.8235,0.9788,21.7921,12.7256,0.2302,0.2129,0.0418,0.5727,0.1076,0.1994,0.1847,0.029,0.5651,0.0933,5.9863,72.4206,69.1429,122.269,32.7074,2108.9646,4690.6631,6557,0.45024797,Others
M06__E-7.png,M06__E-7_1_3158,,Tissue,Polygon,2388.6,6051.1,0.9085,556.2395,91.7493,0.8304,1.0,37.1747,18.8848,0.3476,0.3578,-0.008,0.7761,0.1389,0.2666,0.2445,0.0103,1.0627,0.1321,5,58.7465,53.9101,90.4369,25.5893,1539.618,4032.644,0.6667,233.476,56.2151,0.8235,0.9788,21.7921,12.7256,0.2302,0.2129,0.0418,0.5727,0.1076,0.1994,0.1847,0.029,0.5651,0.0933,5.9863,72.4206,69.1429,122.269,32.7074,2108.9646,4690.6631,6557,0.81508934,Tumor
M06__E-7.png,M06__E-7_1_1501,,Tissue,Polygon,2768.9,930.49,0.9068,426.2368,76.1872,0.9228,1.0,28.0383,19.6892,0.2416,0.241,0.0326,0.42,0.0748,0.2278,0.2257,0.0587,0.4005,0.0606,5,83.7738,81.2731,136.6214,47.4965,2541.9587,3538.5579,0.6667,233.476,56.2151,0.8235,0.9788,21.7921,12.7256,0.2302,0.2129,0.0418,0.5727,0.1076,0.1994,0.1847,0.029,0.5651,0.0933,5.9863,72.4206,69.1429,122.269,32.7074,2108.9646,4690.6631,6557,0.5602925,Others
M06__E-7.png,M06__E-7_1_4944,,Tissue,Polygon,1999.6,3622.2,0.9058,463.5768,79.1744,0.9293,0.9961,28.1612,20.0818,0.2512,0.2596,0.0446,0.5506,0.0974,0.331,0.3366,0.1315,0.6098,0.0839,6,85.3189,84.0539,104.5165,66.1178,3012.9478,3963.124,0.6667,233.476,56.2151,0.8235,0.9788,21.7921,12.7256,0.2302,0.2129,0.0418,0.5727,0.1076,0.1994,0.1847,0.029,0.5651,0.0933,5.9863,72.4206,69.1429,122.269,32.7074,2108.9646,4690.6631,6557,0.93696374,Tumor
M06__E-7.png,M06__E-7_1_891,,Tissue,Polygon,2318.6,5509.4,0.904,556.6303,86.0549,0.9446,1.0,30.4763,24.7827,0.3263,0.3412,-0.0093,0.8527,0.1277,0.3778,0.3538,0.0145,1.5336,0.1629,5,66.1031,58.1397,101.6789,35.5276,1928.4436,3951.2454,0.6667,233.476,56.2151,0.8235,0.9788,21.7921,12.7256,0.2302,0.2129,0.0418,0.5727,0.1076,0.1994,0.1847,0.029,0.5651,0.0933,5.9863,72.4206,69.1429,122.269,32.7074,2108.9646,4690.6631,6557,0.7560803,Tumor
M06__E-7.png,M06__E-7_1_3206,,Tissue,Polygon,1079.6,4379.6,0.8986,674.8367,95.4903,0.93,0.9958,33.5494,27.3447,0.3299,0.3687,-0.0375,0.5716,0.1172,0.3505,0.3535,0.0501,1.0889,0.1433,10,92.4734,90.1672,149.279,61.7593,2487.7861,6573.71,0.6667,233.476,56.2151,0.8235,0.9788,21.7921,12.7256,0.2302,0.2129,0.0418,0.5727,0.1076,0.1994,0.1847,0.029,0.5651,0.0933,5.9863,72.4206,69.1429,122.269,32.7074,2108.9646,4690.6631,6557,0.9991008,Tumor
M06__E-7.png,M06__E-7_1_6529,,Tissue,Polygon,1550.0,2116.7,0.8985,300.9151,62.7206,0.9612,1.0,21.5638,18.6459,0.3264,0.3108,0.0549,0.7374,0.1411,0.3698,0.3131,0.056,1.7714,0.2272,4,40.0858,41.2316,46.112,31.7681,614.785,982.7162,0.6667,233.476,56.2151,0.8235,0.9788,21.7921,12.7256,0.2302,0.2129,0.0418,0.5727,0.1076,0.1994,0.1847,0.029,0.5651,0.0933,5.9863,72.4206,69.1429,122.269,32.7074,2108.9646,4690.6631,6557,0.47403485,Others
M06__E-7.png,M06__E-7_1_4794,,Tissue,Polygon,3698.4,2974.8,0.8957,495.6985,81.694,0.9334,0.9972,29.3871,23.1871,0.2845,0.2848,0.0088,0.565,0.1007,0.4345,0.4147,0.1528,1.0125,0.1451,7,80.8777,66.369,134.803,31.7197,2449.7458,5612.5293,0.6667,233.476,56.2151,0.8235,0.9788,21.7921,12.7256,0.2302,0.2129,0.0418,0.5727,0.1076,0.1994,0.1847,0.029,0.5651,0.0933,5.9863,72.4206,69.1429,122.269,32.7074,2108.9646,4690.6631,6557,0.6893153,Others
M06__E-7.png,M06__E-7_1_2527,,Tissue,Polygon,4001.4,5359.6,0.8941,249.897,56.9678,0.9676,1.0,19.6718,16.2628,0.2798,0.2818,0.063,0.5583,0.0887,0.2539,0.251,0.0644,0.5197,0.0707,5,61.2528,37.2211,108.6097,25.8982,1035.9813,2012.6855,0.6667,233.476,56.2151,0.8235,0.9788,21.7921,12.7256,0.2302,0.2129,0.0418,0.5727,0.1076,0.1994,0.1847,0.029,0.5651,0.0933,5.9863,72.4206,69.1429,122.269,32.7074,2108.9646,4690.6631,6557,0.8585945,Lymphocyte
