Image,Name,Class,Parent,ROI,Centroid X px,Centroid Y px,Detection probability,Area px^2,Length px,Circularity,Solidity,Max diameter px,Min diameter px,Hematoxylin: Mean,Hematoxylin: Median,Hematoxylin: Min,Hematoxylin: Max,Hematoxylin: Std.Dev.,Eosin: Mean,Eosin: Median,Eosin: Min,Eosin: Max,Eosin: Std.Dev.,Delaunay: Num neighbors,Delaunay: Mean distance,Delaunay: Median distance,Delaunay: Max distance,Delaunay: Min distance,Delaunay: Mean triangle area,Delaunay: Max triangle area,Cluster mean: Detection probability,Cluster mean: Area px^2,Cluster mean: Length px,Cluster mean: Circularity,Cluster mean: Solidity,Cluster mean: Max diameter px,Cluster mean: Min diameter px,Cluster mean: Hematoxylin: Mean,Cluster mean: Hematoxylin: Median,Cluster mean: Hematoxylin: Min,Cluster mean: Hematoxylin: Max,Cluster mean: Hematoxylin: Std.Dev.,Cluster mean: Eosin: Mean,Cluster mean: Eosin: Median,Cluster mean: Eosin: Min,Cluster mean: Eosin: Max,Cluster mean: Eosin: Std.Dev.,Cluster mean: Delaunay: Num neighbors,Cluster mean: Delaunay: Mean distance,Cluster mean: Delaunay: Median distance,Cluster mean: Delaunay: Max distance,Cluster mean: Delaunay: Min distance,Cluster mean: Delaunay: Mean triangle area,Cluster mean: Delaunay: Max triangle area,Cluster size,Max Prediction Probability,Class Type
M06__F-11.png,M06__F-11_1_2519,,Tissue,Polygon,655.68,4780.7,0.9824,646.2875,109.2753,0.6801,0.9545,46.0996,19.9126,0.2359,0.1844,-0.0317,1.0549,0.2194,0.235,0.1888,-0.0224,1.5414,0.2048,6,288.7113,398.2451,456.6241,12.7292,16712.5273,60002.4805,0.6547,227.0488,55.9747,0.7948,0.9686,21.7816,12.3291,0.2487,0.232,0.0394,0.6255,0.1168,0.2834,0.2558,0.0641,0.8406,0.1405,5.986,72.5241,68.1089,128.0294,29.2405,2110.6423,5240.3369,5556,0.83809394,Macrophage
M06__F-11.png,M06__F-11_1_429,,Tissue,Polygon,643.49,4787.6,0.9457,198.4935,68.5079,0.5315,0.8508,27.982,10.5022,0.1238,0.0825,-0.01,0.6488,0.135,0.1439,0.0827,-0.0237,1.184,0.1803,9,247.027,70.9465,1198.5883,13.9962,39941.4219,232805.7031,0.6547,227.0488,55.9747,0.7948,0.9686,21.7816,12.3291,0.2487,0.232,0.0394,0.6255,0.1168,0.2834,0.2558,0.0641,0.8406,0.1405,5.986,72.5241,68.1089,128.0294,29.2405,2110.6423,5240.3369,5556,1.0,Neutrophil
M06__F-11.png,M06__F-11_1_4600,,Tissue,Polygon,1798.4,1520.5,0.9056,605.0463,88.4506,0.9718,1.0,30.9572,25.7673,0.1404,0.125,0.0117,0.4404,0.0776,0.1465,0.1338,0.043,0.4055,0.0638,7,81.4479,69.8391,165.7173,28.6142,2804.7817,10500.1328,0.6547,227.0488,55.9747,0.7948,0.9686,21.7816,12.3291,0.2487,0.232,0.0394,0.6255,0.1168,0.2834,0.2558,0.0641,0.8406,0.1405,5.986,72.5241,68.1089,128.0294,29.2405,2110.6423,5240.3369,5556,0.8259572,Macrophage
M06__F-11.png,M06__F-11_1_926,,Tissue,Polygon,2616.5,3184.3,0.9036,603.5603,89.7035,0.9426,1.0,33.3541,23.5329,0.1044,0.0981,-0.0144,0.3797,0.0568,0.125,0.1205,0.0387,0.4994,0.0492,4,65.7442,66.4024,108.1344,22.0378,1932.9618,4020.7375,0.6547,227.0488,55.9747,0.7948,0.9686,21.7816,12.3291,0.2487,0.232,0.0394,0.6255,0.1168,0.2834,0.2558,0.0641,0.8406,0.1405,5.986,72.5241,68.1089,128.0294,29.2405,2110.6423,5240.3369,5556,0.4843956,Others
M06__F-11.png,M06__F-11_1_249,,Tissue,Polygon,1559.7,2226.2,0.8988,167.3057,46.9423,0.9541,1.0,16.65,13.2053,0.3365,0.2951,0.0543,1.5373,0.21,0.158,0.132,0.0309,1.2281,0.1152,4,38.2827,26.3674,85.0616,15.3345,548.257,1006.1152,0.6547,227.0488,55.9747,0.7948,0.9686,21.7816,12.3291,0.2487,0.232,0.0394,0.6255,0.1168,0.2834,0.2558,0.0641,0.8406,0.1405,5.986,72.5241,68.1089,128.0294,29.2405,2110.6423,5240.3369,5556,0.99796224,Lymphocyte
M06__F-11.png,M06__F-11_1_319,,Tissue,Polygon,516.5,4041.7,0.8938,391.2168,71.2012,0.9697,1.0,25.0707,20.2113,0.0979,0.0808,-0.0129,0.3795,0.071,0.1033,0.095,-0.0312,0.3877,0.0643,6,50.7518,46.448,84.9104,36.2353,1020.563,1659.095,0.6547,227.0488,55.9747,0.7948,0.9686,21.7816,12.3291,0.2487,0.232,0.0394,0.6255,0.1168,0.2834,0.2558,0.0641,0.8406,0.1405,5.986,72.5241,68.1089,128.0294,29.2405,2110.6423,5240.3369,5556,0.866798,Tumor
M06__F-11.png,M06__F-11_1_3890,,Tissue,Polygon,1780.7,1277.7,0.8891,827.7769,103.5955,0.9693,1.0,36.5185,29.0059,0.1116,0.1018,-0.0266,0.3541,0.0581,0.1434,0.136,0.0319,0.4554,0.0543,5,51.9637,47.736,79.1204,36.2262,1210.0195,1800.8074,0.6547,227.0488,55.9747,0.7948,0.9686,21.7816,12.3291,0.2487,0.232,0.0394,0.6255,0.1168,0.2834,0.2558,0.0641,0.8406,0.1405,5.986,72.5241,68.1089,128.0294,29.2405,2110.6423,5240.3369,5556,0.95113164,Tumor
M06__F-11.png,M06__F-11_1_4889,,Tissue,Polygon,4585.7,4169.9,0.8876,239.3344,55.5043,0.9763,1.0,19.1102,16.4131,0.7268,0.7095,0.0687,2.9376,0.3377,0.6793,0.6285,-0.1317,1.808,0.4468,6,101.2398,104.225,134.86,45.9998,4236.0337,8303.0439,0.6547,227.0488,55.9747,0.7948,0.9686,21.7816,12.3291,0.2487,0.232,0.0394,0.6255,0.1168,0.2834,0.2558,0.0641,0.8406,0.1405,5.986,72.5241,68.1089,128.0294,29.2405,2110.6423,5240.3369,5556,0.9136746,Lymphocyte
M06__F-11.png,M06__F-11_1_4222,,Tissue,Polygon,2608.0,427.87,0.8841,748.4172,99.0041,0.9595,1.0,35.3556,26.7057,0.1441,0.1365,0.0211,0.3447,0.0573,0.2388,0.2385,0.0782,0.4819,0.0764,11,94.902,85.8482,163.8062,60.8948,2101.3896,5962.8647,0.6547,227.0488,55.9747,0.7948,0.9686,21.7816,12.3291,0.2487,0.232,0.0394,0.6255,0.1168,0.2834,0.2558,0.0641,0.8406,0.1405,5.986,72.5241,68.1089,128.0294,29.2405,2110.6423,5240.3369,5556,0.51932585,Others
M06__F-11.png,M06__F-11_1_5382,,Tissue,Polygon,1487.3,4233.2,0.8832,790.0806,102.3369,0.948,1.0,37.1923,28.0399,0.123,0.1075,-0.0046,0.4424,0.0753,0.1397,0.126,0.0241,0.465,0.0629,7,40.1359,41.7971,50.3221,25.8987,488.5016,941.7749,0.6547,227.0488,55.9747,0.7948,0.9686,21.7816,12.3291,0.2487,0.232,0.0394,0.6255,0.1168,0.2834,0.2558,0.0641,0.8406,0.1405,5.986,72.5241,68.1089,128.0294,29.2405,2110.6423,5240.3369,5556,0.9999982,Tumor
