Image,Name,Class,Parent,ROI,Centroid X px,Centroid Y px,Detection probability,Area px^2,Length px,Circularity,Solidity,Max diameter px,Min diameter px,Hematoxylin: Mean,Hematoxylin: Median,Hematoxylin: Min,Hematoxylin: Max,Hematoxylin: Std.Dev.,Eosin: Mean,Eosin: Median,Eosin: Min,Eosin: Max,Eosin: Std.Dev.,Delaunay: Num neighbors,Delaunay: Mean distance,Delaunay: Median distance,Delaunay: Max distance,Delaunay: Min distance,Delaunay: Mean triangle area,Delaunay: Max triangle area,Cluster mean: Detection probability,Cluster mean: Area px^2,Cluster mean: Length px,Cluster mean: Circularity,Cluster mean: Solidity,Cluster mean: Max diameter px,Cluster mean: Min diameter px,Cluster mean: Hematoxylin: Mean,Cluster mean: Hematoxylin: Median,Cluster mean: Hematoxylin: Min,Cluster mean: Hematoxylin: Max,Cluster mean: Hematoxylin: Std.Dev.,Cluster mean: Eosin: Mean,Cluster mean: Eosin: Median,Cluster mean: Eosin: Min,Cluster mean: Eosin: Max,Cluster mean: Eosin: Std.Dev.,Cluster mean: Delaunay: Num neighbors,Cluster mean: Delaunay: Mean distance,Cluster mean: Delaunay: Median distance,Cluster mean: Delaunay: Max distance,Cluster mean: Delaunay: Min distance,Cluster mean: Delaunay: Mean triangle area,Cluster mean: Delaunay: Max triangle area,Cluster size,Max Prediction Probability,Class Type
M06__G-1.png,M06__G-1_1_15,,Tissue,Polygon,2156.1,4185.7,0.8946,587.2364,91.7274,0.8771,0.9742,32.5835,25.137,0.1987,0.1985,0.0159,0.3765,0.0727,0.0244,0.0167,-0.0272,0.1278,0.0291,4,61.257,64.2684,89.9088,26.5825,1375.3081,2002.7537,0.6335,236.6053,57.9237,0.7871,0.9602,22.3886,12.795,0.1449,0.1417,0.0656,0.2457,0.0377,0.0408,0.0397,-0.0007,0.0933,0.0186,5.9878,67.0694,61.2606,120.9984,26.5503,2052.5608,5737.7119,5754,0.93545556,Lymphocyte
M06__G-1.png,M06__G-1_1_4274,,Tissue,Polygon,3597.2,4470.7,0.8918,491.8086,81.9944,0.9193,0.9887,28.5052,24.363,0.2585,0.2532,0.0254,0.5418,0.1091,0.0909,0.0858,-0.0199,0.2862,0.057,5,64.2691,60.4905,105.8353,35.925,1394.8954,2035.5416,0.6335,236.6053,57.9237,0.7871,0.9602,22.3886,12.795,0.1449,0.1417,0.0656,0.2457,0.0377,0.0408,0.0397,-0.0007,0.0933,0.0186,5.9878,67.0694,61.2606,120.9984,26.5503,2052.5608,5737.7119,5754,0.936914,Lymphocyte
M06__G-1.png,M06__G-1_1_5237,,Tissue,Polygon,4419.3,2579.6,0.8805,372.9241,72.9192,0.8813,1.0,28.9358,17.4542,0.1592,0.1558,0.0863,0.2439,0.0319,0.0454,0.0415,0.0044,0.1001,0.018,8,96.4556,81.5144,156.6313,52.1815,3222.8997,11012.5625,0.6335,236.6053,57.9237,0.7871,0.9602,22.3886,12.795,0.1449,0.1417,0.0656,0.2457,0.0377,0.0408,0.0397,-0.0007,0.0933,0.0186,5.9878,67.0694,61.2606,120.9984,26.5503,2052.5608,5737.7119,5754,0.4310287,Others
M06__G-1.png,M06__G-1_1_3260,,Tissue,Polygon,5014.2,2430.7,0.8788,178.5052,48.1693,0.9668,1.0,16.9001,13.8088,0.1706,0.1673,0.0819,0.2526,0.0368,0.0549,0.0536,0.017,0.0971,0.0172,5,51.7444,56.0839,97.0043,18.0951,1194.0804,2866.7153,0.6335,236.6053,57.9237,0.7871,0.9602,22.3886,12.795,0.1449,0.1417,0.0656,0.2457,0.0377,0.0408,0.0397,-0.0007,0.0933,0.0186,5.9878,67.0694,61.2606,120.9984,26.5503,2052.5608,5737.7119,5754,0.9975247,Lymphocyte
M06__G-1.png,M06__G-1_1_2149,,Tissue,Polygon,4573.2,3941.0,0.8782,161.671,46.6102,0.9351,1.0,16.3489,13.5411,0.2246,0.2162,0.0795,0.4248,0.0658,0.0082,0.0016,-0.0664,0.0854,0.0256,6,93.3514,106.4261,163.3277,14.3283,2907.1809,6219.8701,0.6335,236.6053,57.9237,0.7871,0.9602,22.3886,12.795,0.1449,0.1417,0.0656,0.2457,0.0377,0.0408,0.0397,-0.0007,0.0933,0.0186,5.9878,67.0694,61.2606,120.9984,26.5503,2052.5608,5737.7119,5754,0.99851304,Lymphocyte
M06__G-1.png,M06__G-1_1_4097,,Tissue,Polygon,1733.7,4582.0,0.8748,839.9888,108.8495,0.8909,0.9963,40.164,28.3002,0.1512,0.1527,0.0636,0.2612,0.0326,0.0452,0.0445,0.0058,0.0987,0.0144,5,38.2775,34.279,61.2009,25.8911,482.5752,647.7355,0.6335,236.6053,57.9237,0.7871,0.9602,22.3886,12.795,0.1449,0.1417,0.0656,0.2457,0.0377,0.0408,0.0397,-0.0007,0.0933,0.0186,5.9878,67.0694,61.2606,120.9984,26.5503,2052.5608,5737.7119,5754,0.9999385,Tumor
M06__G-1.png,M06__G-1_1_1593,,Tissue,Polygon,5075.2,3723.9,0.8722,133.9268,41.9081,0.9583,1.0,14.2541,12.5232,0.2251,0.2287,0.063,0.4195,0.0821,0.0275,0.0291,-0.0153,0.1022,0.0216,5,20.4644,20.5672,24.8154,16.6173,187.7974,244.0363,0.6335,236.6053,57.9237,0.7871,0.9602,22.3886,12.795,0.1449,0.1417,0.0656,0.2457,0.0377,0.0408,0.0397,-0.0007,0.0933,0.0186,5.9878,67.0694,61.2606,120.9984,26.5503,2052.5608,5737.7119,5754,0.9962818,Lymphocyte
M06__G-1.png,M06__G-1_1_1630,,Tissue,Polygon,4192.2,320.88,0.8707,876.0516,106.3479,0.9734,1.0,36.0817,31.4022,0.1367,0.135,0.0602,0.2157,0.0227,0.0236,0.0229,-0.0237,0.0598,0.0133,7,46.6886,43.433,74.4738,27.1367,748.0574,1474.9436,0.6335,236.6053,57.9237,0.7871,0.9602,22.3886,12.795,0.1449,0.1417,0.0656,0.2457,0.0377,0.0408,0.0397,-0.0007,0.0933,0.0186,5.9878,67.0694,61.2606,120.9984,26.5503,2052.5608,5737.7119,5754,0.9999974,Tumor
M06__G-1.png,M06__G-1_1_625,,Tissue,Polygon,4652.6,759.24,0.8668,116.567,39.7186,0.9285,1.0,14.6638,10.2598,0.3782,0.3848,0.1156,0.5661,0.1223,0.0401,0.0304,-0.0178,0.0961,0.0289,6,37.3981,35.1352,51.2914,22.3597,518.8015,766.1719,0.6335,236.6053,57.9237,0.7871,0.9602,22.3886,12.795,0.1449,0.1417,0.0656,0.2457,0.0377,0.0408,0.0397,-0.0007,0.0933,0.0186,5.9878,67.0694,61.2606,120.9984,26.5503,2052.5608,5737.7119,5754,0.96879184,Lymphocyte
M06__G-1.png,M06__G-1_1_3696,,Tissue,Polygon,4614.7,1170.4,0.8667,113.2624,39.8211,0.8976,1.0,15.24,9.7741,0.2158,0.2242,0.0245,0.3533,0.0719,0.0779,0.0727,0.0191,0.1488,0.032,5,62.3705,60.4689,89.794,26.4378,1621.5519,2413.9478,0.6335,236.6053,57.9237,0.7871,0.9602,22.3886,12.795,0.1449,0.1417,0.0656,0.2457,0.0377,0.0408,0.0397,-0.0007,0.0933,0.0186,5.9878,67.0694,61.2606,120.9984,26.5503,2052.5608,5737.7119,5754,0.98642206,Lymphocyte
M06__G-1.png,M06__G-1_1_1204,,Tissue,Polygon,4159.0,1094.0,0.8659,399.5786,72.9793,0.9428,1.0,25.4836,21.0797,0.1312,0.1267,0.0671,0.2131,0.0313,0.0436,0.0417,0.0053,0.0848,0.0143,7,81.3395,79.9132,112.4871,33.3259,2028.4288,2800.8064,0.6335,236.6053,57.9237,0.7871,0.9602,22.3886,12.795,0.1449,0.1417,0.0656,0.2457,0.0377,0.0408,0.0397,-0.0007,0.0933,0.0186,5.9878,67.0694,61.2606,120.9984,26.5503,2052.5608,5737.7119,5754,0.41841957,Others
M06__G-1.png,M06__G-1_1_287,,Tissue,Polygon,4379.2,279.54,0.8648,250.6293,57.2331,0.9615,1.0,19.745,16.6255,0.1381,0.1367,0.0845,0.1897,0.0226,0.0192,0.0197,-0.0105,0.0549,0.0157,6,42.7119,38.7023,87.2835,18.3932,560.973,1479.2836,0.6335,236.6053,57.9237,0.7871,0.9602,22.3886,12.795,0.1449,0.1417,0.0656,0.2457,0.0377,0.0408,0.0397,-0.0007,0.0933,0.0186,5.9878,67.0694,61.2606,120.9984,26.5503,2052.5608,5737.7119,5754,0.9525837,Lymphocyte
M06__G-1.png,M06__G-1_1_1777,,Tissue,Polygon,4207.9,857.19,0.8642,487.5075,82.6727,0.8963,0.9969,32.228,20.3983,0.2062,0.2012,0.0299,0.3785,0.0571,0.0356,0.023,-0.0402,0.1586,0.0435,5,42.3242,39.1455,65.8872,32.0403,829.3447,1263.6698,0.6335,236.6053,57.9237,0.7871,0.9602,22.3886,12.795,0.1449,0.1417,0.0656,0.2457,0.0377,0.0408,0.0397,-0.0007,0.0933,0.0186,5.9878,67.0694,61.2606,120.9984,26.5503,2052.5608,5737.7119,5754,0.916077,Lymphocyte
M06__G-1.png,M06__G-1_1_5051,,Tissue,Polygon,4218.4,1876.2,0.864,181.2086,50.1074,0.907,1.0,18.88,11.8195,0.1574,0.158,0.0756,0.2416,0.0298,0.0279,0.0298,-0.019,0.072,0.0186,9,72.6364,54.4762,126.122,27.1846,1362.597,4281.251,0.6335,236.6053,57.9237,0.7871,0.9602,22.3886,12.795,0.1449,0.1417,0.0656,0.2457,0.0377,0.0408,0.0397,-0.0007,0.0933,0.0186,5.9878,67.0694,61.2606,120.9984,26.5503,2052.5608,5737.7119,5754,0.9901979,Lymphocyte
M06__G-1.png,M06__G-1_1_590,,Tissue,Polygon,4863.7,3087.4,0.8622,640.2316,96.9869,0.8553,1.0,39.0543,20.4408,0.1368,0.1345,0.0392,0.2476,0.0394,0.0216,0.0201,-0.0085,0.0901,0.0154,6,112.2645,115.6078,171.4523,38.7663,3721.3794,9815.4346,0.6335,236.6053,57.9237,0.7871,0.9602,22.3886,12.795,0.1449,0.1417,0.0656,0.2457,0.0377,0.0408,0.0397,-0.0007,0.0933,0.0186,5.9878,67.0694,61.2606,120.9984,26.5503,2052.5608,5737.7119,5754,0.6812885,Others
M06__G-1.png,M06__G-1_1_1896,,Tissue,Polygon,2771.5,691.64,0.8616,612.3916,90.6323,0.9369,0.9984,33.544,23.265,0.1445,0.1426,0.073,0.2526,0.0301,0.0509,0.05,-0.0018,0.1088,0.0205,7,90.6768,83.5249,199.0153,22.6674,2994.2666,10924.0234,0.6335,236.6053,57.9237,0.7871,0.9602,22.3886,12.795,0.1449,0.1417,0.0656,0.2457,0.0377,0.0408,0.0397,-0.0007,0.0933,0.0186,5.9878,67.0694,61.2606,120.9984,26.5503,2052.5608,5737.7119,5754,0.48911747,Others
M06__G-1.png,M06__G-1_1_4572,,Tissue,Polygon,3046.8,2122.7,0.8612,387.6938,77.7629,0.8057,0.9951,31.9472,15.1612,0.1802,0.1796,0.0578,0.3388,0.0466,0.0303,0.0305,-0.0063,0.065,0.0121,6,61.3447,51.4165,120.6917,28.239,1508.8298,2943.4187,0.6335,236.6053,57.9237,0.7871,0.9602,22.3886,12.795,0.1449,0.1417,0.0656,0.2457,0.0377,0.0408,0.0397,-0.0007,0.0933,0.0186,5.9878,67.0694,61.2606,120.9984,26.5503,2052.5608,5737.7119,5754,0.40245527,Others
M06__G-1.png,M06__G-1_1_5695,,Tissue,Polygon,4609.1,2430.2,0.8605,110.2147,38.4861,0.9351,1.0,13.9199,9.9658,0.4033,0.4045,0.1204,0.6202,0.125,0.0607,0.0484,-0.0334,0.1958,0.0545,4,43.385,43.8265,58.0332,27.8536,774.4476,1109.0692,0.6335,236.6053,57.9237,0.7871,0.9602,22.3886,12.795,0.1449,0.1417,0.0656,0.2457,0.0377,0.0408,0.0397,-0.0007,0.0933,0.0186,5.9878,67.0694,61.2606,120.9984,26.5503,2052.5608,5737.7119,5754,0.99666685,Lymphocyte
