Image,Name,Class,Parent,ROI,Centroid X px,Centroid Y px,Detection probability,Area px^2,Length px,Circularity,Solidity,Max diameter px,Min diameter px,Hematoxylin: Mean,Hematoxylin: Median,Hematoxylin: Min,Hematoxylin: Max,Hematoxylin: Std.Dev.,Eosin: Mean,Eosin: Median,Eosin: Min,Eosin: Max,Eosin: Std.Dev.,Delaunay: Num neighbors,Delaunay: Mean distance,Delaunay: Median distance,Delaunay: Max distance,Delaunay: Min distance,Delaunay: Mean triangle area,Delaunay: Max triangle area,Cluster mean: Detection probability,Cluster mean: Area px^2,Cluster mean: Length px,Cluster mean: Circularity,Cluster mean: Solidity,Cluster mean: Max diameter px,Cluster mean: Min diameter px,Cluster mean: Hematoxylin: Mean,Cluster mean: Hematoxylin: Median,Cluster mean: Hematoxylin: Min,Cluster mean: Hematoxylin: Max,Cluster mean: Hematoxylin: Std.Dev.,Cluster mean: Eosin: Mean,Cluster mean: Eosin: Median,Cluster mean: Eosin: Min,Cluster mean: Eosin: Max,Cluster mean: Eosin: Std.Dev.,Cluster mean: Delaunay: Num neighbors,Cluster mean: Delaunay: Mean distance,Cluster mean: Delaunay: Median distance,Cluster mean: Delaunay: Max distance,Cluster mean: Delaunay: Min distance,Cluster mean: Delaunay: Mean triangle area,Cluster mean: Delaunay: Max triangle area,Cluster size,Max Prediction Probability,Class Type
M06__H-3.png,M06__H-3_1_330,,Tissue,Polygon,6846.5,3371.9,0.9181,475.0886,78.5619,0.9673,1.0,26.81,22.474,0.8131,0.8054,0.0272,2.373,0.3461,0.5263,0.4484,-0.0195,1.6679,0.3057,6,143.2089,94.723,328.2531,39.9288,4504.4595,12165.8604,0.6808,195.259,52.8419,0.7979,0.9731,20.6932,11.5288,0.3799,0.3658,0.0752,0.8379,0.16,0.3206,0.2913,0.0316,0.9315,0.1696,5.9899,64.9811,59.8687,116.0394,26.1908,1949.656,5413.6743,8344,0.44527566,Others
M06__H-3.png,M06__H-3_1_6949,,Tissue,Polygon,614.49,5004.2,0.9126,216.4222,53.2689,0.9584,1.0,18.4884,15.4295,0.4144,0.4461,0.0412,0.847,0.1748,0.1291,0.1264,-0.0049,0.782,0.0867,8,123.4956,92.967,281.5715,38.3948,3901.9055,14396.7314,0.6808,195.259,52.8419,0.7979,0.9731,20.6932,11.5288,0.3799,0.3658,0.0752,0.8379,0.16,0.3206,0.2913,0.0316,0.9315,0.1696,5.9899,64.9811,59.8687,116.0394,26.1908,1949.656,5413.6743,8344,0.747523,Others
M06__H-3.png,M06__H-3_1_1841,,Tissue,Polygon,2892.8,3100.5,0.9061,237.5785,55.5772,0.9665,1.0,19.4193,15.9523,0.6653,0.7056,0.1008,1.2857,0.2584,0.4097,0.3989,-0.0344,1.6264,0.2531,5,103.6968,90.0298,220.0695,41.4801,3256.4932,9354.1973,0.6808,195.259,52.8419,0.7979,0.9731,20.6932,11.5288,0.3799,0.3658,0.0752,0.8379,0.16,0.3206,0.2913,0.0316,0.9315,0.1696,5.9899,64.9811,59.8687,116.0394,26.1908,1949.656,5413.6743,8344,0.9945538,Lymphocyte
M06__H-3.png,M06__H-3_1_7074,,Tissue,Polygon,5763.8,5716.5,0.9031,343.0516,69.8981,0.8823,0.9954,25.9157,17.5619,1.0708,0.7416,-0.0222,4.0805,1.1132,0.0337,0.0585,-1.8046,1.7683,0.594,5,79.8623,73.8135,116.3124,27.5749,2226.1414,5666.0098,0.6808,195.259,52.8419,0.7979,0.9731,20.6932,11.5288,0.3799,0.3658,0.0752,0.8379,0.16,0.3206,0.2913,0.0316,0.9315,0.1696,5.9899,64.9811,59.8687,116.0394,26.1908,1949.656,5413.6743,8344,0.39155567,Others
M06__H-3.png,M06__H-3_1_6393,,Tissue,Polygon,4983.4,5481.9,0.9021,688.5114,95.8356,0.942,1.0,35.1742,25.1873,0.4928,0.495,0.0769,0.9984,0.1605,0.2181,0.2104,0.0124,0.4645,0.0804,5,50.9902,53.0972,59.958,30.8321,1041.3226,1768.0135,0.6808,195.259,52.8419,0.7979,0.9731,20.6932,11.5288,0.3799,0.3658,0.0752,0.8379,0.16,0.3206,0.2913,0.0316,0.9315,0.1696,5.9899,64.9811,59.8687,116.0394,26.1908,1949.656,5413.6743,8344,0.94869983,Tumor
M06__H-3.png,M06__H-3_1_1582,,Tissue,Polygon,551.07,3072.1,0.9011,269.2391,59.4452,0.9574,1.0,20.1429,17.6531,0.4364,0.4182,0.0083,1.3602,0.2539,0.2049,0.1956,-0.0338,1.3273,0.166,8,103.2035,89.6214,207.7861,50.104,4517.9487,9238.0225,0.6808,195.259,52.8419,0.7979,0.9731,20.6932,11.5288,0.3799,0.3658,0.0752,0.8379,0.16,0.3206,0.2913,0.0316,0.9315,0.1696,5.9899,64.9811,59.8687,116.0394,26.1908,1949.656,5413.6743,8344,0.98882514,Lymphocyte
M06__H-3.png,M06__H-3_1_6160,,Tissue,Polygon,1302.6,5106.6,0.8997,235.8472,55.549,0.9605,1.0,19.195,15.6567,0.5914,0.6081,0.0803,1.6394,0.2272,0.1337,0.1349,-0.2804,0.9011,0.1702,6,63.369,65.5101,93.6048,25.2554,1560.2068,2768.1206,0.6808,195.259,52.8419,0.7979,0.9731,20.6932,11.5288,0.3799,0.3658,0.0752,0.8379,0.16,0.3206,0.2913,0.0316,0.9315,0.1696,5.9899,64.9811,59.8687,116.0394,26.1908,1949.656,5413.6743,8344,0.41259292,Others
M06__H-3.png,M06__H-3_1_7007,,Tissue,Polygon,722.09,2538.9,0.8993,188.8236,50.4681,0.9316,1.0,18.5168,12.7005,0.6608,0.5951,0.0063,1.5256,0.377,0.4011,0.2665,-0.0613,1.6066,0.3744,4,62.5526,76.4873,80.7014,16.5345,1708.4877,2920.2891,0.6808,195.259,52.8419,0.7979,0.9731,20.6932,11.5288,0.3799,0.3658,0.0752,0.8379,0.16,0.3206,0.2913,0.0316,0.9315,0.1696,5.9899,64.9811,59.8687,116.0394,26.1908,1949.656,5413.6743,8344,0.9946721,Lymphocyte
M06__H-3.png,M06__H-3_1_259,,Tissue,Polygon,191.24,3043.0,0.8991,231.1438,54.7215,0.97,1.0,18.4838,16.8348,0.5328,0.5369,0.0378,1.2504,0.2256,0.3485,0.321,0.0075,1.3236,0.1986,9,178.0963,182.4947,258.5982,74.7595,10307.8594,17682.3438,0.6808,195.259,52.8419,0.7979,0.9731,20.6932,11.5288,0.3799,0.3658,0.0752,0.8379,0.16,0.3206,0.2913,0.0316,0.9315,0.1696,5.9899,64.9811,59.8687,116.0394,26.1908,1949.656,5413.6743,8344,0.84239846,Lymphocyte
M06__H-3.png,M06__H-3_1_7042,,Tissue,Polygon,205.81,4009.2,0.897,145.5219,44.0387,0.9429,1.0,15.755,12.2385,0.4942,0.4822,-0.0319,1.218,0.2426,0.4518,0.3305,0.1098,1.546,0.328,7,46.8034,41.9437,72.3754,17.7557,752.5116,1518.4451,0.6808,195.259,52.8419,0.7979,0.9731,20.6932,11.5288,0.3799,0.3658,0.0752,0.8379,0.16,0.3206,0.2913,0.0316,0.9315,0.1696,5.9899,64.9811,59.8687,116.0394,26.1908,1949.656,5413.6743,8344,0.99853575,Lymphocyte
M06__H-3.png,M06__H-3_1_5015,,Tissue,Polygon,2480.4,1142.0,0.8965,388.4992,73.7446,0.8977,0.9865,26.0815,22.0541,0.7123,0.7197,-0.003,1.7807,0.2739,0.7853,0.7125,-0.0206,1.6891,0.4354,5,113.8661,104.0832,162.0089,75.0674,4480.2871,8422.375,0.6808,195.259,52.8419,0.7979,0.9731,20.6932,11.5288,0.3799,0.3658,0.0752,0.8379,0.16,0.3206,0.2913,0.0316,0.9315,0.1696,5.9899,64.9811,59.8687,116.0394,26.1908,1949.656,5413.6743,8344,0.57883656,Others
M06__H-3.png,M06__H-3_1_506,,Tissue,Polygon,2568.7,2169.0,0.893,405.6091,79.6427,0.8036,0.9816,31.537,17.2546,0.6589,0.695,0.0711,1.428,0.2323,0.6427,0.5451,0.0056,1.7668,0.4013,10,95.9512,93.5669,134.9485,72.9543,2529.5452,5409.1543,0.6808,195.259,52.8419,0.7979,0.9731,20.6932,11.5288,0.3799,0.3658,0.0752,0.8379,0.16,0.3206,0.2913,0.0316,0.9315,0.1696,5.9899,64.9811,59.8687,116.0394,26.1908,1949.656,5413.6743,8344,0.99650276,Tumor
M06__H-3.png,M06__H-3_1_4769,,Tissue,Polygon,5090.9,1252.1,0.8926,264.122,60.454,0.9082,1.0,22.7556,15.2682,0.9268,0.9594,0.0654,4.1431,0.5703,0.4822,0.343,-0.8677,1.7885,0.4668,7,70.4248,60.8143,112.354,52.4531,1905.8932,3832.2017,0.6808,195.259,52.8419,0.7979,0.9731,20.6932,11.5288,0.3799,0.3658,0.0752,0.8379,0.16,0.3206,0.2913,0.0316,0.9315,0.1696,5.9899,64.9811,59.8687,116.0394,26.1908,1949.656,5413.6743,8344,0.87755483,Lymphocyte
M06__H-3.png,M06__H-3_1_1874,,Tissue,Polygon,3354.2,1889.3,0.8912,484.5063,81.308,0.921,1.0,31.1505,20.6845,0.7186,0.724,0.0432,3.2621,0.3523,0.5414,0.4763,-0.2062,1.7521,0.4134,6,45.2155,43.0395,62.1387,32.9099,756.6787,1037.4481,0.6808,195.259,52.8419,0.7979,0.9731,20.6932,11.5288,0.3799,0.3658,0.0752,0.8379,0.16,0.3206,0.2913,0.0316,0.9315,0.1696,5.9899,64.9811,59.8687,116.0394,26.1908,1949.656,5413.6743,8344,0.4962597,Others
M06__H-3.png,M06__H-3_1_32,,Tissue,Polygon,6880.0,2145.8,0.8911,229.9789,55.4087,0.9413,1.0,19.2411,16.9151,0.6808,0.7426,0.0693,1.3118,0.2455,0.3394,0.3431,0.0178,1.261,0.1679,7,75.0804,83.4402,96.0824,50.2246,1884.0813,2598.8855,0.6808,195.259,52.8419,0.7979,0.9731,20.6932,11.5288,0.3799,0.3658,0.0752,0.8379,0.16,0.3206,0.2913,0.0316,0.9315,0.1696,5.9899,64.9811,59.8687,116.0394,26.1908,1949.656,5413.6743,8344,0.9998542,Lymphocyte
M06__H-3.png,M06__H-3_1_345,,Tissue,Polygon,2292.0,2751.0,0.8905,542.3712,88.9849,0.8607,0.9973,35.091,20.0569,0.4344,0.4245,0.0743,1.0459,0.1613,0.347,0.3419,0.0284,1.4002,0.1464,5,52.5676,41.3934,80.4241,25.1033,1253.326,2846.4668,0.6808,195.259,52.8419,0.7979,0.9731,20.6932,11.5288,0.3799,0.3658,0.0752,0.8379,0.16,0.3206,0.2913,0.0316,0.9315,0.1696,5.9899,64.9811,59.8687,116.0394,26.1908,1949.656,5413.6743,8344,0.821004,Tumor
