Image,Name,Class,Parent,ROI,Centroid X px,Centroid Y px,Detection probability,Area px^2,Length px,Circularity,Solidity,Max diameter px,Min diameter px,Hematoxylin: Mean,Hematoxylin: Median,Hematoxylin: Min,Hematoxylin: Max,Hematoxylin: Std.Dev.,Eosin: Mean,Eosin: Median,Eosin: Min,Eosin: Max,Eosin: Std.Dev.,Delaunay: Num neighbors,Delaunay: Mean distance,Delaunay: Median distance,Delaunay: Max distance,Delaunay: Min distance,Delaunay: Mean triangle area,Delaunay: Max triangle area,Cluster mean: Detection probability,Cluster mean: Area px^2,Cluster mean: Length px,Cluster mean: Circularity,Cluster mean: Solidity,Cluster mean: Max diameter px,Cluster mean: Min diameter px,Cluster mean: Hematoxylin: Mean,Cluster mean: Hematoxylin: Median,Cluster mean: Hematoxylin: Min,Cluster mean: Hematoxylin: Max,Cluster mean: Hematoxylin: Std.Dev.,Cluster mean: Eosin: Mean,Cluster mean: Eosin: Median,Cluster mean: Eosin: Min,Cluster mean: Eosin: Max,Cluster mean: Eosin: Std.Dev.,Cluster mean: Delaunay: Num neighbors,Cluster mean: Delaunay: Mean distance,Cluster mean: Delaunay: Median distance,Cluster mean: Delaunay: Max distance,Cluster mean: Delaunay: Min distance,Cluster mean: Delaunay: Mean triangle area,Cluster mean: Delaunay: Max triangle area,Cluster size,Max Prediction Probability,Class Type
M06__H-9.png,M06__H-9_1_4729,,Tissue,Polygon,3641.6,6340.2,0.9234,527.2982,83.0979,0.9596,1.0,29.7123,22.9914,0.1414,0.1273,-0.0231,0.9127,0.0977,0.083,0.0764,-0.0355,0.274,0.0537,5,33.6587,31.0819,54.6903,24.2178,472.1879,838.5093,0.6155,151.6401,47.1521,0.7433,0.9581,18.813,9.5605,0.2619,0.2405,0.0532,0.6487,0.1276,0.2326,0.204,0.0327,0.7081,0.1342,5.9888,65.2971,60.7584,115.1031,25.7741,1700.7406,4218.3721,8411,0.7056206,Others
M06__H-9.png,M06__H-9_1_7810,,Tissue,Polygon,2327.7,121.69,0.9103,694.5953,96.7024,0.9334,1.0,35.5808,24.959,0.1572,0.1446,0.0193,0.4765,0.08,0.1155,0.1044,-0.0096,0.4155,0.0695,6,37.9083,36.57,56.6118,25.1193,408.1074,852.5006,0.6155,151.6401,47.1521,0.7433,0.9581,18.813,9.5605,0.2619,0.2405,0.0532,0.6487,0.1276,0.2326,0.204,0.0327,0.7081,0.1342,5.9888,65.2971,60.7584,115.1031,25.7741,1700.7406,4218.3721,8411,0.9984125,Tumor
M06__H-9.png,M06__H-9_1_551,,Tissue,Polygon,1363.2,2467.7,0.8997,266.2178,58.6827,0.9715,1.0,20.1604,17.7388,0.8556,0.9083,0.1383,1.5327,0.345,0.4656,0.3822,0.0156,1.6814,0.3387,6,48.563,49.5482,70.5344,31.5142,977.3152,1636.5782,0.6155,151.6401,47.1521,0.7433,0.9581,18.813,9.5605,0.2619,0.2405,0.0532,0.6487,0.1276,0.2326,0.204,0.0327,0.7081,0.1342,5.9888,65.2971,60.7584,115.1031,25.7741,1700.7406,4218.3721,8411,0.44001523,Others
M06__H-9.png,M06__H-9_1_6393,,Tissue,Polygon,4685.5,4545.1,0.8943,460.6104,77.2008,0.9712,1.0,26.4471,22.783,0.0961,0.094,0.0147,0.2155,0.0321,0.1032,0.1001,0.0189,0.2328,0.046,6,45.6202,41.9547,72.7289,22.6692,902.4463,2302.1953,0.6155,151.6401,47.1521,0.7433,0.9581,18.813,9.5605,0.2619,0.2405,0.0532,0.6487,0.1276,0.2326,0.204,0.0327,0.7081,0.1342,5.9888,65.2971,60.7584,115.1031,25.7741,1700.7406,4218.3721,8411,0.928847,Tumor
M06__H-9.png,M06__H-9_1_1012,,Tissue,Polygon,601.89,2981.3,0.8882,447.0926,84.8587,0.7802,0.996,36.15,16.1998,0.1485,0.1426,0.0255,0.3592,0.0618,0.1653,0.1574,0.0257,0.3622,0.0675,6,51.7699,49.0554,85.6487,24.4925,992.3474,2751.9065,0.6155,151.6401,47.1521,0.7433,0.9581,18.813,9.5605,0.2619,0.2405,0.0532,0.6487,0.1276,0.2326,0.204,0.0327,0.7081,0.1342,5.9888,65.2971,60.7584,115.1031,25.7741,1700.7406,4218.3721,8411,0.9794393,Tumor
M06__H-9.png,M06__H-9_1_5423,,Tissue,Polygon,771.1,2459.6,0.8855,698.3088,97.7211,0.9189,0.9974,36.1162,25.1002,0.1263,0.1214,0.0124,0.3881,0.0564,0.1226,0.115,0.0145,0.29,0.0556,4,33.9292,33.6529,44.3356,24.0755,436.5902,603.3081,0.6155,151.6401,47.1521,0.7433,0.9581,18.813,9.5605,0.2619,0.2405,0.0532,0.6487,0.1276,0.2326,0.204,0.0327,0.7081,0.1342,5.9888,65.2971,60.7584,115.1031,25.7741,1700.7406,4218.3721,8411,0.95857185,Tumor
M06__H-9.png,M06__H-9_1_811,,Tissue,Polygon,1550.6,1979.4,0.8854,551.4751,86.2949,0.9306,1.0,32.5942,21.6657,0.1172,0.1025,-0.009,0.4458,0.0613,0.1132,0.0905,0.0086,0.4752,0.0669,7,39.8056,39.534,49.1289,31.9675,523.9183,948.5319,0.6155,151.6401,47.1521,0.7433,0.9581,18.813,9.5605,0.2619,0.2405,0.0532,0.6487,0.1276,0.2326,0.204,0.0327,0.7081,0.1342,5.9888,65.2971,60.7584,115.1031,25.7741,1700.7406,4218.3721,8411,0.9725874,Tumor
M06__H-9.png,M06__H-9_1_4748,,Tissue,Polygon,1605.4,1971.3,0.8811,959.6769,112.9554,0.9452,1.0,41.5116,29.5723,0.0909,0.0835,-0.0196,0.4377,0.0496,0.1001,0.0788,-0.0219,0.3834,0.0693,5,35.548,35.4488,48.5617,26.6272,577.35,938.4113,0.6155,151.6401,47.1521,0.7433,0.9581,18.813,9.5605,0.2619,0.2405,0.0532,0.6487,0.1276,0.2326,0.204,0.0327,0.7081,0.1342,5.9888,65.2971,60.7584,115.1031,25.7741,1700.7406,4218.3721,8411,0.99999845,Tumor
M06__H-9.png,M06__H-9_1_7603,,Tissue,Polygon,2966.2,5826.8,0.8798,411.4146,73.1281,0.9668,1.0,25.9899,20.7953,0.1128,0.1088,0.0439,0.2452,0.0357,0.1064,0.0969,0.0017,0.2641,0.0638,7,52.7632,44.8347,106.6861,23.7454,869.3644,1852.9386,0.6155,151.6401,47.1521,0.7433,0.9581,18.813,9.5605,0.2619,0.2405,0.0532,0.6487,0.1276,0.2326,0.204,0.0327,0.7081,0.1342,5.9888,65.2971,60.7584,115.1031,25.7741,1700.7406,4218.3721,8411,0.8046575,Tumor
M06__H-9.png,M06__H-9_1_3676,,Tissue,Polygon,268.27,3517.3,0.8797,175.4503,48.0377,0.9554,1.0,17.0816,13.3077,0.9875,0.7685,-0.0971,3.9883,0.8472,0.6775,0.4999,-1.5917,3.354,0.8351,8,39.7553,39.7529,67.9207,13.7392,527.9934,1492.3879,0.6155,151.6401,47.1521,0.7433,0.9581,18.813,9.5605,0.2619,0.2405,0.0532,0.6487,0.1276,0.2326,0.204,0.0327,0.7081,0.1342,5.9888,65.2971,60.7584,115.1031,25.7741,1700.7406,4218.3721,8411,0.48518538,Others
M06__H-9.png,M06__H-9_1_1597,,Tissue,Polygon,3251.2,1420.1,0.8776,185.999,49.016,0.9728,1.0,17.1066,14.4791,0.7924,0.8289,0.0058,2.1784,0.4935,0.7061,0.511,0.0505,1.8177,0.5532,11,75.4566,75.3143,93.8531,62.3159,1505.813,4027.4016,0.6155,151.6401,47.1521,0.7433,0.9581,18.813,9.5605,0.2619,0.2405,0.0532,0.6487,0.1276,0.2326,0.204,0.0327,0.7081,0.1342,5.9888,65.2971,60.7584,115.1031,25.7741,1700.7406,4218.3721,8411,0.68513644,Others
M06__H-9.png,M06__H-9_1_4879,,Tissue,Polygon,140.35,2805.7,0.8771,179.1571,48.8943,0.9417,1.0,17.8038,13.1059,0.4992,0.509,0.0929,1.0705,0.2231,0.3197,0.2866,-0.131,1.5542,0.2342,5,19.911,15.862,40.2985,11.3268,126.5319,286.8402,0.6155,151.6401,47.1521,0.7433,0.9581,18.813,9.5605,0.2619,0.2405,0.0532,0.6487,0.1276,0.2326,0.204,0.0327,0.7081,0.1342,5.9888,65.2971,60.7584,115.1031,25.7741,1700.7406,4218.3721,8411,0.64488196,Others
M06__H-9.png,M06__H-9_1_5221,,Tissue,Polygon,4479.1,5490.4,0.8771,148.4888,44.9032,0.9254,1.0,16.4781,11.9217,0.6688,0.7147,-0.0195,1.4999,0.3367,0.8343,0.7461,0.0125,1.8241,0.5225,6,38.7994,37.7434,63.2044,18.7931,637.3812,1539.4081,0.6155,151.6401,47.1521,0.7433,0.9581,18.813,9.5605,0.2619,0.2405,0.0532,0.6487,0.1276,0.2326,0.204,0.0327,0.7081,0.1342,5.9888,65.2971,60.7584,115.1031,25.7741,1700.7406,4218.3721,8411,0.9858736,Lymphocyte
M06__H-9.png,M06__H-9_1_4103,,Tissue,Polygon,1651.8,1970.5,0.877,940.5492,110.4574,0.9687,1.0,38.7808,31.6544,0.0965,0.0898,-0.02,0.302,0.0514,0.1179,0.0954,-0.0058,0.3318,0.076,5,49.7865,37.2943,113.9324,24.5822,1022.0032,2122.9084,0.6155,151.6401,47.1521,0.7433,0.9581,18.813,9.5605,0.2619,0.2405,0.0532,0.6487,0.1276,0.2326,0.204,0.0327,0.7081,0.1342,5.9888,65.2971,60.7584,115.1031,25.7741,1700.7406,4218.3721,8411,0.9999939,Tumor
M06__H-9.png,M06__H-9_1_487,,Tissue,Polygon,723.47,1776.0,0.8766,136.8987,43.698,0.9009,1.0,16.2518,11.2667,0.7829,0.7522,0.0654,1.9441,0.3692,0.5982,0.4041,0.0059,1.7955,0.4645,5,42.0386,43.4769,56.9271,21.6719,766.8777,1540.1497,0.6155,151.6401,47.1521,0.7433,0.9581,18.813,9.5605,0.2619,0.2405,0.0532,0.6487,0.1276,0.2326,0.204,0.0327,0.7081,0.1342,5.9888,65.2971,60.7584,115.1031,25.7741,1700.7406,4218.3721,8411,0.5899513,Others
M06__H-9.png,M06__H-9_1_4388,,Tissue,Polygon,1784.3,2039.6,0.8762,751.5361,98.2681,0.978,1.0,34.0204,28.5644,0.0878,0.0814,0.002,0.2662,0.0503,0.112,0.0959,-0.0344,0.3581,0.0675,7,66.8916,52.3876,93.7194,39.9302,1716.8419,3491.4375,0.6155,151.6401,47.1521,0.7433,0.9581,18.813,9.5605,0.2619,0.2405,0.0532,0.6487,0.1276,0.2326,0.204,0.0327,0.7081,0.1342,5.9888,65.2971,60.7584,115.1031,25.7741,1700.7406,4218.3721,8411,0.9952531,Tumor
M06__H-9.png,M06__H-9_1_7843,,Tissue,Polygon,4887.8,5715.7,0.8744,86.3717,33.9976,0.939,1.0,12.3829,9.2725,0.7678,0.6673,-0.0096,2.4829,0.5277,0.5062,0.3302,0.0087,1.7291,0.4969,7,46.6758,45.9159,72.9038,27.7278,836.215,1987.3777,0.6155,151.6401,47.1521,0.7433,0.9581,18.813,9.5605,0.2619,0.2405,0.0532,0.6487,0.1276,0.2326,0.204,0.0327,0.7081,0.1342,5.9888,65.2971,60.7584,115.1031,25.7741,1700.7406,4218.3721,8411,0.5602259,Others
M06__H-9.png,M06__H-9_1_6339,,Tissue,Polygon,2243.6,3090.3,0.8731,103.1973,37.2887,0.9327,1.0,13.0803,10.7692,0.2294,0.2139,0.0663,0.3928,0.0699,0.1956,0.1968,0.0735,0.2889,0.0547,5,53.9803,60.9523,72.0518,28.93,1272.6124,2419.2126,0.6155,151.6401,47.1521,0.7433,0.9581,18.813,9.5605,0.2619,0.2405,0.0532,0.6487,0.1276,0.2326,0.204,0.0327,0.7081,0.1342,5.9888,65.2971,60.7584,115.1031,25.7741,1700.7406,4218.3721,8411,0.9642125,Lymphocyte
M06__H-9.png,M06__H-9_1_1587,,Tissue,Polygon,5668.4,2177.6,0.8729,98.9494,36.6807,0.9242,1.0,13.364,9.7301,0.4788,0.1839,0.0006,3.8657,0.7847,0.1447,0.0761,-1.1223,1.1916,0.298,7,109.7684,100.2369,175.3977,62.4896,4381.6523,9452.2236,0.6155,151.6401,47.1521,0.7433,0.9581,18.813,9.5605,0.2619,0.2405,0.0532,0.6487,0.1276,0.2326,0.204,0.0327,0.7081,0.1342,5.9888,65.2971,60.7584,115.1031,25.7741,1700.7406,4218.3721,8411,0.6134366,Others
