Image,Name,Class,Parent,ROI,Centroid X px,Centroid Y px,Detection probability,Area px^2,Length px,Circularity,Solidity,Max diameter px,Min diameter px,Hematoxylin: Mean,Hematoxylin: Median,Hematoxylin: Min,Hematoxylin: Max,Hematoxylin: Std.Dev.,Eosin: Mean,Eosin: Median,Eosin: Min,Eosin: Max,Eosin: Std.Dev.,Delaunay: Num neighbors,Delaunay: Mean distance,Delaunay: Median distance,Delaunay: Max distance,Delaunay: Min distance,Delaunay: Mean triangle area,Delaunay: Max triangle area,Cluster mean: Detection probability,Cluster mean: Area px^2,Cluster mean: Length px,Cluster mean: Circularity,Cluster mean: Solidity,Cluster mean: Max diameter px,Cluster mean: Min diameter px,Cluster mean: Hematoxylin: Mean,Cluster mean: Hematoxylin: Median,Cluster mean: Hematoxylin: Min,Cluster mean: Hematoxylin: Max,Cluster mean: Hematoxylin: Std.Dev.,Cluster mean: Eosin: Mean,Cluster mean: Eosin: Median,Cluster mean: Eosin: Min,Cluster mean: Eosin: Max,Cluster mean: Eosin: Std.Dev.,Cluster mean: Delaunay: Num neighbors,Cluster mean: Delaunay: Mean distance,Cluster mean: Delaunay: Median distance,Cluster mean: Delaunay: Max distance,Cluster mean: Delaunay: Min distance,Cluster mean: Delaunay: Mean triangle area,Cluster mean: Delaunay: Max triangle area,Cluster size,Max Prediction Probability,Class Type
M06__J-11.png,M06__J-11_1_1438,,Tissue,Polygon,5552.1,1237.5,0.9092,326.293,66.6657,0.9226,0.996,24.3071,17.542,0.4459,0.3535,-0.0022,4.1105,0.4306,0.1012,0.1031,-0.8155,0.6899,0.1198,8,291.8874,300.1356,581.0266,28.4926,14529.2236,35660.3984,0.6628,185.5532,51.4009,0.8095,0.9734,19.9595,11.4725,0.225,0.214,0.0595,0.5052,0.0887,0.1142,0.1081,0.0082,0.3043,0.0547,5.9897,62.1754,59.4024,103.9991,26.956,1563.9591,3671.3484,8768,0.9735388,Lymphocyte
M06__J-11.png,M06__J-11_1_5655,,Tissue,Polygon,4488.6,2786.5,0.9065,681.9758,106.4529,0.7562,0.9855,44.5498,19.528,0.2573,0.2547,0.0472,0.5097,0.1,0.1291,0.1266,0.0297,0.2988,0.0453,8,86.0026,85.5847,124.3144,35.03,2590.9368,5491.2222,0.6628,185.5532,51.4009,0.8095,0.9734,19.9595,11.4725,0.225,0.214,0.0595,0.5052,0.0887,0.1142,0.1081,0.0082,0.3043,0.0547,5.9897,62.1754,59.4024,103.9991,26.956,1563.9591,3671.3484,8768,0.9404591,Tumor
M06__J-11.png,M06__J-11_1_7441,,Tissue,Polygon,929.26,1855.7,0.8917,230.543,54.6765,0.9691,1.0,18.6546,16.1296,0.4143,0.4108,0.0205,1.2314,0.1885,0.1825,0.16,-0.0152,0.8027,0.1133,7,240.0227,100.1273,722.0101,43.5846,32080.9746,144990.0625,0.6628,185.5532,51.4009,0.8095,0.9734,19.9595,11.4725,0.225,0.214,0.0595,0.5052,0.0887,0.1142,0.1081,0.0082,0.3043,0.0547,5.9897,62.1754,59.4024,103.9991,26.956,1563.9591,3671.3484,8768,0.9953666,Lymphocyte
M06__J-11.png,M06__J-11_1_3004,,Tissue,Polygon,4696.4,3650.1,0.89,224.4244,54.3047,0.9563,1.0,18.9284,15.9337,0.4262,0.4173,0.0608,1.5171,0.195,0.1704,0.1543,-0.0124,1.3805,0.1587,6,51.246,47.5794,83.2094,33.5286,997.0964,1632.7369,0.6628,185.5532,51.4009,0.8095,0.9734,19.9595,11.4725,0.225,0.214,0.0595,0.5052,0.0887,0.1142,0.1081,0.0082,0.3043,0.0547,5.9897,62.1754,59.4024,103.9991,26.956,1563.9591,3671.3484,8768,0.9921556,Lymphocyte
M06__J-11.png,M06__J-11_1_3822,,Tissue,Polygon,5525.9,1226.5,0.8896,168.6892,50.1554,0.8427,0.976,18.4268,12.696,0.7519,0.5573,0.0614,4.039,0.5454,0.1687,0.111,-0.7012,1.3731,0.2789,6,56.0287,70.1493,73.2267,23.0014,616.3627,1000.3592,0.6628,185.5532,51.4009,0.8095,0.9734,19.9595,11.4725,0.225,0.214,0.0595,0.5052,0.0887,0.1142,0.1081,0.0082,0.3043,0.0547,5.9897,62.1754,59.4024,103.9991,26.956,1563.9591,3671.3484,8768,0.9978423,Lymphocyte
M06__J-11.png,M06__J-11_1_2865,,Tissue,Polygon,1583.7,3156.6,0.8888,339.7569,69.4281,0.8857,1.0,26.8682,16.6022,0.231,0.2227,0.0563,0.4954,0.0686,0.1227,0.12,0.0369,0.2908,0.038,7,78.7296,64.3416,138.78,30.629,2335.5686,4882.7056,0.6628,185.5532,51.4009,0.8095,0.9734,19.9595,11.4725,0.225,0.214,0.0595,0.5052,0.0887,0.1142,0.1081,0.0082,0.3043,0.0547,5.9897,62.1754,59.4024,103.9991,26.956,1563.9591,3671.3484,8768,0.5404405,Others
M06__J-11.png,M06__J-11_1_7407,,Tissue,Polygon,5251.6,2002.9,0.8883,180.2869,48.3659,0.9685,1.0,16.2131,14.8247,0.5291,0.512,0.0513,1.3729,0.2113,0.2651,0.2028,-0.0234,1.414,0.1981,7,86.6835,89.7081,110.071,44.7086,2385.8667,3332.7991,0.6628,185.5532,51.4009,0.8095,0.9734,19.9595,11.4725,0.225,0.214,0.0595,0.5052,0.0887,0.1142,0.1081,0.0082,0.3043,0.0547,5.9897,62.1754,59.4024,103.9991,26.956,1563.9591,3671.3484,8768,0.99850625,Lymphocyte
M06__J-11.png,M06__J-11_1_232,,Tissue,Polygon,2959.0,1391.1,0.8877,725.7288,105.4273,0.8205,0.9896,42.4658,22.0837,0.7046,0.658,-0.0159,4.0846,0.5094,0.3513,0.3322,-1.8429,2.0765,0.3903,7,68.7789,68.418,101.8139,29.7878,1967.6853,4270.5713,0.6628,185.5532,51.4009,0.8095,0.9734,19.9595,11.4725,0.225,0.214,0.0595,0.5052,0.0887,0.1142,0.1081,0.0082,0.3043,0.0547,5.9897,62.1754,59.4024,103.9991,26.956,1563.9591,3671.3484,8768,0.9999949,Macrophage
M06__J-11.png,M06__J-11_1_7218,,Tissue,Polygon,4587.2,435.75,0.8874,181.8079,48.2521,0.9813,1.0,16.2087,14.3878,0.6382,0.5973,0.0861,3.0396,0.3261,0.1617,0.1359,-0.7708,0.7403,0.1865,5,58.6538,59.1301,94.7771,19.6917,1280.3651,2211.4951,0.6628,185.5532,51.4009,0.8095,0.9734,19.9595,11.4725,0.225,0.214,0.0595,0.5052,0.0887,0.1142,0.1081,0.0082,0.3043,0.0547,5.9897,62.1754,59.4024,103.9991,26.956,1563.9591,3671.3484,8768,0.9956344,Lymphocyte
M06__J-11.png,M06__J-11_1_4940,,Tissue,Polygon,1090.7,3639.0,0.8861,167.228,47.2496,0.9413,1.0,17.1094,13.0555,0.6365,0.5605,0.0424,4.0494,0.4626,0.1822,0.1478,-0.718,1.377,0.2403,5,57.7433,55.5234,91.5179,31.8013,1537.0238,2345.5686,0.6628,185.5532,51.4009,0.8095,0.9734,19.9595,11.4725,0.225,0.214,0.0595,0.5052,0.0887,0.1142,0.1081,0.0082,0.3043,0.0547,5.9897,62.1754,59.4024,103.9991,26.956,1563.9591,3671.3484,8768,0.9820318,Lymphocyte
